pT	rapidity	cent	Raa	Uncert_tot	contrib_IDtrg_stat_pp	contrib_IDtrg_syst_pp	contrib_IDtrg_pp	contrib_sta_stat_pp	contrib_sta_syst_pp	contrib_sta_pp	contrib_3d_pp	contrib_4d_pp	contrib_fit_pp	global_uncertainty_pp	contrib_IDtrg_stat_aa	contrib_IDtrg_syst_aa	contrib_IDtrg_aa	contrib_sta_stat_aa	contrib_sta_syst_aa	contrib_sta_aa	contrib_3d_aa	contrib_4d_aa	contrib_fit_aa	global_uncertainty_aa
65300	0024	50100	0.701725	0.127955	0.004	0.011	0.0117047	0.01	0.051	0.0519711	0.013	0.00455606	0.0240108	0.0374833	0.006	0.013	0.0143178	0.022	0.052	0.0564624	0.012	0.0110634	0.0860686	0.032311
65300	0024	4050	0.690982	0.0891647	0.004	0.011	0.0117047	0.01	0.051	0.0519711	0.013	0.00455606	0.0240108	0.0374833	0.006	0.013	0.0143178	0.022	0.052	0.0564624	0.012	0.0237754	0.0254633	0.032311
65300	0024	3040	0.54228	0.060286	0.004	0.011	0.0117047	0.01	0.051	0.0519711	0.013	0.00455606	0.0240108	0.0374833	0.006	0.013	0.0143178	0.022	0.052	0.0564624	0.017	0.00230689	0.0391789	0.032311
65300	0024	2030	0.503884	0.0595376	0.004	0.011	0.0117047	0.01	0.051	0.0519711	0.013	0.00455606	0.0240108	0.0374833	0.006	0.013	0.0143178	0.022	0.052	0.0564624	0.013	0.00546351	0.0776231	0.032311
65300	0024	1020	0.441289	0.054601	0.004	0.011	0.0117047	0.01	0.051	0.0519711	0.013	0.00455606	0.0240108	0.0374833	0.006	0.013	0.0143178	0.022	0.052	0.0564624	0.019	0.00997007	0.0932796	0.032311
65300	0024	010	0.332561	0.0280987	0.004	0.011	0.0117047	0.01	0.051	0.0519711	0.013	0.00455606	0.0240108	0.0374833	0.006	0.012	0.0134164	0.022	0.051	0.0555428	0.02	0.034712	0.0476337	0.032311

3065	1624	50100	0.906343	0.202366	0.01	0.024	0.026	0.022	0.073	0.076243	0.094	0.0211143	0.0352979	0.0374833	0.029	0.027	0.0396232	0.037	0.073	0.0818413	0.036	0.0231728	0.132551	0.032311
3065	1624	4050	1.06882	0.174623	0.01	0.024	0.026	0.022	0.073	0.076243	0.094	0.0211143	0.0352979	0.0374833	0.026	0.03	0.0396989	0.037	0.073	0.0818413	0.037	0.000352634	0.0717569	0.032311
3065	1624	3040	0.801368	0.129065	0.01	0.024	0.026	0.022	0.073	0.076243	0.094	0.0211143	0.0352979	0.0374833	0.027	0.029	0.0396232	0.037	0.073	0.0818413	0.052	0.0526866	0.0710932	0.032311
3065	1624	2030	0.773075	0.110394	0.01	0.024	0.026	0.022	0.073	0.076243	0.094	0.0211143	0.0352979	0.0374833	0.028	0.027	0.0388973	0.036	0.073	0.0813941	0.054	0.0505884	0.0493364	0.032311
3065	1624	1020	0.670751	0.11914	0.01	0.024	0.026	0.022	0.073	0.076243	0.094	0.0211143	0.0352979	0.0374833	0.029	0.027	0.0396232	0.038	0.073	0.0822982	0.091	0.065422	0.0888292	0.032311
3065	1624	010	0.563709	0.123684	0.01	0.024	0.026	0.022	0.073	0.076243	0.094	0.0211143	0.0352979	0.0374833	0.027	0.027	0.0381838	0.036	0.073	0.0813941	0.147	0.0494636	0.126502	0.032311

65300	012	50100	0.773602	0.151411	0.005	0.007	0.00860233	0.01	0.045	0.0460977	0.026	0.00192567	0.0459544	0.0374833	0.007	0.012	0.0138924	0.025	0.046	0.0523546	0.022	0.0273535	0.109356	0.032311
65300	012	4050	0.740662	0.112389	0.005	0.007	0.00860233	0.01	0.045	0.0460977	0.026	0.00192567	0.0459544	0.0374833	0.007	0.012	0.0138924	0.025	0.046	0.0523546	0.021	0.0814144	0.0334829	0.032311
65300	012	3040	0.552303	0.0659891	0.005	0.007	0.00860233	0.01	0.045	0.0460977	0.026	0.00192567	0.0459544	0.0374833	0.007	0.012	0.0138924	0.025	0.046	0.0523546	0.032	0.0306324	0.0473533	0.032311
65300	012	2030	0.561198	0.0806565	0.005	0.007	0.00860233	0.01	0.045	0.0460977	0.026	0.00192567	0.0459544	0.0374833	0.007	0.012	0.0138924	0.025	0.046	0.0523546	0.023	0.0519224	0.100762	0.032311
65300	012	1020	0.530518	0.0724269	0.005	0.007	0.00860233	0.01	0.045	0.0460977	0.026	0.00192567	0.0459544	0.0374833	0.008	0.012	0.0144222	0.025	0.046	0.0523546	0.029	0.0656445	0.088227	0.032311
