pT	rapidity	cent	Raa	Uncert_tot	contrib_IDtrg_stat_pp	contrib_IDtrg_syst_pp	contrib_IDtrg_pp	contrib_sta_stat_pp	contrib_sta_syst_pp	contrib_sta_pp	contrib_3d_pp	contrib_4d_pp	contrib_fit_pp	global_uncertainty_pp	contrib_IDtrg_stat_aa	contrib_IDtrg_syst_aa	contrib_IDtrg_aa	contrib_sta_stat_aa	contrib_sta_syst_aa	contrib_sta_aa	contrib_3d_aa	contrib_4d_aa	contrib_fit_aa	global_uncertainty_aa
65300	0024	60100	0.712018	0.128331	0.004	0.012	0.0126491	0.011	0.054	0.055109	0.01	0.00163468	0.0136767	0.0374833	0.007	0.013	0.0147648	0.023	0.054	0.0586941	0.017	0.00333302	0.0540521	0.032311
65300	0024	5060	0.714175	0.110974	0.004	0.012	0.0126491	0.011	0.054	0.055109	0.01	0.00163468	0.0136767	0.0374833	0.007	0.014	0.0156525	0.023	0.054	0.0586941	0.02	0.00301464	0.0229886	0.032311
65300	0024	4550	0.565603	0.0767148	0.004	0.012	0.0126491	0.011	0.054	0.055109	0.01	0.00163468	0.0136767	0.0374833	0.007	0.013	0.0147648	0.023	0.054	0.0586941	0.038	0.00471436	0.0194053	0.032311
65300	0024	4045	0.544502	0.0661566	0.004	0.012	0.0126491	0.011	0.054	0.055109	0.01	0.00163468	0.0136767	0.0374833	0.007	0.013	0.0147648	0.023	0.054	0.0586941	0.01	0.00625113	0.018034	0.032311
65300	0024	3540	0.476263	0.0574503	0.004	0.012	0.0126491	0.011	0.054	0.055109	0.01	0.00163468	0.0136767	0.0374833	0.007	0.013	0.0147648	0.023	0.054	0.0586941	0.035	0.0177725	0.0366861	0.032311
65300	0024	3035	0.482397	0.0520259	0.004	0.012	0.0126491	0.011	0.054	0.055109	0.01	0.00163468	0.0136767	0.0374833	0.006	0.013	0.0143178	0.023	0.054	0.0586941	0.027	0.00829012	0.0261612	0.032311
65300	0024	2530	0.458586	0.0554404	0.004	0.012	0.0126491	0.011	0.054	0.055109	0.01	0.00163468	0.0136767	0.0374833	0.006	0.013	0.0143178	0.023	0.054	0.0586941	0.011	0.00420216	0.0777137	0.032311
65300	0024	2025	0.414477	0.0386928	0.004	0.012	0.0126491	0.011	0.054	0.055109	0.01	0.00163468	0.0136767	0.0374833	0.006	0.013	0.0143178	0.023	0.054	0.0586941	0.011	0.0101683	0.0263602	0.032311
65300	0024	1520	0.355053	0.0347353	0.004	0.012	0.0126491	0.011	0.054	0.055109	0.01	0.00163468	0.0136767	0.0374833	0.006	0.013	0.0143178	0.023	0.054	0.0586941	0.018	0.00487208	0.0487265	0.032311
65300	0024	1015	0.311545	0.0333758	0.004	0.012	0.0126491	0.011	0.054	0.055109	0.01	0.00163468	0.0136767	0.0374833	0.006	0.013	0.0143178	0.023	0.053	0.0577754	0.018	0.00266331	0.0719239	0.032311
