pT	rapidity	cent	Raa	Uncert_tot	contrib_IDtrg_stat_pp	contrib_IDtrg_syst_pp	contrib_IDtrg_pp	contrib_sta_stat_pp	contrib_sta_syst_pp	contrib_sta_pp	contrib_3d_pp	contrib_4d_pp	contrib_fit_pp	global_uncertainty_pp	contrib_IDtrg_stat_aa	contrib_IDtrg_syst_aa	contrib_IDtrg_aa	contrib_sta_stat_aa	contrib_sta_syst_aa	contrib_sta_aa	contrib_3d_aa	contrib_4d_aa	contrib_fit_aa	global_uncertainty_aa
6585	0024	0100	0.466419	0.0542712	0.005	0.016	0.0167631	0.012	0.063	0.0641327	0.028	0.00903599	0.0270303	0.0374833	0.008	0.016	0.0178885	0.03	0.063	0.0697782	0.023	0.00727673	0.0421634	0.0650321
8595	0024	0100	0.485616	0.0443835	0.004	0.011	0.0117047	0.011	0.053	0.0541295	0.006	0.000420415	0.0235184	0.0374833	0.007	0.012	0.0138924	0.025	0.054	0.0595063	0.007	0.00203198	0.030164	0.0650321
95110	0024	0100	0.406552	0.0357823	0.004	0.009	0.00984886	0.01	0.049	0.05001	0.006	0.00270901	0.03035	0.0374833	0.006	0.011	0.01253	0.022	0.049	0.0537122	0.005	0.00728516	0.0326179	0.0650321
110130	0024	0100	0.453607	0.0586049	0.004	0.008	0.00894427	0.011	0.045	0.0463249	0.006	0.00588074	0.0341278	0.0374833	0.006	0.011	0.01253	0.021	0.045	0.0496588	0.003	0.0268556	0.0993855	0.0650321
130160	0024	0100	0.369455	0.0518269	0.004	0.007	0.00806226	0.012	0.042	0.0436807	0.008	0.00234199	0.00909952	0.0374833	0.007	0.01	0.0122066	0.022	0.042	0.0474131	0.003	0.00388699	0.123012	0.0650321
160300	0024	0100	0.352165	0.0684806	0.005	0.006	0.00781025	0.013	0.039	0.0411096	0.009	0.0113682	0.00925342	0.0374833	0.008	0.009	0.0120416	0.024	0.039	0.045793	0.004	0.0252143	0.181308	0.0650321

3045	1624	0100	0.75358	0.21432	0.014	0.027	0.0304138	0.034	0.076	0.0832586	0.193	0.0180308	0.0653556	0.0374833	0.043	0.036	0.0560803	0.052	0.076	0.0920869	0.123	0.058958	0.0308572	0.0650321
4555	1624	0100	0.689103	0.12183	0.01	0.024	0.026	0.021	0.074	0.076922	0.012	0.026986	0.0514153	0.0374833	0.028	0.028	0.039598	0.037	0.074	0.0827345	0.092	0.0258453	0.0600241	0.0650321
5565	1624	0100	0.542581	0.0892168	0.009	0.022	0.0237697	0.018	0.071	0.0732462	0.013	0.0194807	0.0357226	0.0374833	0.019	0.022	0.0290689	0.032	0.071	0.0778781	0.041	0.0303137	0.0988576	0.0650321



