pT	rapidity	cent	Raa	Syst_tot	contrib_muID_trig	contrib_4d	contrib_3d	contrib_fit	global_uncertainty
6585	0024	0100	0.466419	0.0422742	0.0666591	0.0399992	0.0362353	0.0269046	0.07
8595	0024	0100	0.485616	0.0320783	0.0513904	0.0326268	0.00921954	0.0238478	0.07
95110	0024	0100	0.406552	0.0245419	0.0463422	0.0265771	0.00781025	0.0258593	0.07
110130	0024	0100	0.453607	0.0331768	0.0413518	0.0232992	0.0067082	0.0479147	0.07
130160	0024	0100	0.369455	0.0277326	0.0399908	0.02397	0.008544	0.058027	0.07
160300	0024	0100	0.352165	0.0347426	0.0359721	0.0265924	0.00984886	0.0828829	0.07

3045	1624	0100	0.75358	0.270893	0.201739	0.0638847	0.228862	0.168114	0.07
4555	1624	0100	0.689103	0.129899	0.147211	0.0448303	0.0927793	0.0489419	0.07
5565	1624	0100	0.542581	0.0762535	0.113737	0.0401518	0.0430116	0.0453241	0.07



