pT	rapidity	cent	Raa	Uncert_tot	contrib_IDtrg_stat_pp	contrib_IDtrg_syst_pp	contrib_IDtrg_pp	contrib_sta_stat_pp	contrib_sta_syst_pp	contrib_sta_pp	contrib_3d_pp	contrib_4d_pp	contrib_fit_pp	global_uncertainty_pp	contrib_IDtrg_stat_aa	contrib_IDtrg_syst_aa	contrib_IDtrg_aa	contrib_sta_stat_aa	contrib_sta_syst_aa	contrib_sta_aa	contrib_3d_aa	contrib_4d_aa	contrib_fit_aa	global_uncertainty_aa
6585	0024	0100	0.372463	0.0399962	0.005	0.016	0.0167631	0.013	0.064	0.065307	0.02	0.00347308	0.0144148	0.0374833	0.008	0.015	0.017	0.029	0.063	0.0693542	0.022	0.0076645	0.026898	0.0650321
8595	0024	0100	0.338134	0.0292553	0.004	0.011	0.0117047	0.011	0.054	0.055109	0.005	0.000594607	0.0135622	0.0374833	0.007	0.012	0.0138924	0.025	0.054	0.0595063	0.008	0.0078563	0.0155792	0.0650321
95110	0024	0100	0.378007	0.0301214	0.004	0.01	0.0107703	0.01	0.049	0.05001	0.006	0.000473519	0.0150972	0.0374833	0.006	0.011	0.01253	0.022	0.049	0.0537122	0.006	0.00461795	0.019214	0.0650321
110130	0024	0100	0.371257	0.0351587	0.004	0.008	0.00894427	0.011	0.045	0.0463249	0.007	0.000565939	0.0178201	0.0374833	0.006	0.011	0.01253	0.021	0.045	0.0496588	0.004	0.0067053	0.0607582	0.0650321
130160	0024	0100	0.446183	0.041893	0.004	0.007	0.00806226	0.012	0.043	0.044643	0.008	0.000323495	0.00637346	0.0374833	0.007	0.01	0.0122066	0.021	0.043	0.0478539	0.003	0.000320077	0.0648449	0.0650321
160300	0024	0100	0.388712	0.0656443	0.005	0.006	0.00781025	0.013	0.04	0.0420595	0.012	0.000487013	0.00464836	0.0374833	0.008	0.009	0.0120416	0.023	0.04	0.0461411	0.005	0.00872405	0.155397	0.0650321

3045	1624	0100	0.508483	0.113793	0.014	0.027	0.0304138	0.034	0.076	0.0832586	0.142	0.00568433	0.00774385	0.0374833	0.046	0.04	0.060959	0.056	0.076	0.0944034	0.096	0.00777692	0.00801269	0.0650321
4555	1624	0100	0.378509	0.0580803	0.01	0.024	0.026	0.021	0.074	0.076922	0.011	0.00907324	0.0213796	0.0374833	0.025	0.029	0.0382884	0.037	0.074	0.0827345	0.065	0.0299126	0.0534893	0.0650321
5565	1624	0100	0.384821	0.0504744	0.009	0.022	0.0237697	0.018	0.071	0.0732462	0.014	0.00834888	0.0121393	0.0374833	0.018	0.023	0.0292062	0.033	0.071	0.0782943	0.035	0.0067781	0.0510569	0.0650321



