			PROMPT	NonPROMPT
Rap	pT	Cent	nominal eff	nominal eff
0.0-0.4	6.5-30.0	0.0-100.0	0.518418	0.394416
0.0-1.2	6.5-30.0	0.0-10.0	0.504007	0.392758
0.0-1.2	6.5-30.0	0.0-100.0	0.525257	0.402412
0.0-1.2	6.5-30.0	10.0-20.0	0.53558	0.402613
0.0-1.2	6.5-30.0	20.0-30.0	0.53342	0.413531
0.0-1.2	6.5-30.0	30.0-40.0	0.542679	0.415654
0.0-1.2	6.5-30.0	40.0-50.0	0.541698	0.41867
0.0-1.2	6.5-30.0	50.0-100.0	0.562467	0.425187
0.0-2.4	10.0-13.0	0.0-100.0	0.604548	0.425356
0.0-2.4	10.0-30.0	0.0-100.0	0.626635	0.437395
0.0-2.4	11.0-13.0	0.0-100.0	0.623071	0.438804
0.0-2.4	13.0-16.0	0.0-100.0	0.663904	0.457423
0.0-2.4	13.0-30.0	0.0-100.0	0.668796	0.456443
0.0-2.4	16.0-30.0	0.0-100.0	0.676694	0.454989
0.0-2.4	6.5-30.0	0.0-10.0	0.446209	0.340385
0.0-2.4	6.5-30.0	0.0-100.0	0.476907	0.36016
0.0-2.4	6.5-30.0	0.0-5.0	0.431938	0.332317
0.0-2.4	6.5-30.0	10.0-15.0	0.470021	0.36503
0.0-2.4	6.5-30.0	10.0-20.0	0.483076	0.36633
0.0-2.4	6.5-30.0	15.0-20.0	0.49423	0.367926
0.0-2.4	6.5-30.0	20.0-25.0	0.490625	0.379875
0.0-2.4	6.5-30.0	20.0-30.0	0.492874	0.375358
0.0-2.4	6.5-30.0	25.0-30.0	0.49633	0.368838
0.0-2.4	6.5-30.0	30.0-35.0	0.511972	0.379477
0.0-2.4	6.5-30.0	30.0-40.0	0.512225	0.384587
0.0-2.4	6.5-30.0	35.0-40.0	0.512715	0.391338
0.0-2.4	6.5-30.0	40.0-45.0	0.518008	0.399273
0.0-2.4	6.5-30.0	40.0-50.0	0.514703	0.396039
0.0-2.4	6.5-30.0	45.0-50.0	0.511632	0.391425
0.0-2.4	6.5-30.0	5.0-10.0	0.466835	0.354109
0.0-2.4	6.5-30.0	50.0-100.0	0.532577	0.398485
0.0-2.4	6.5-30.0	50.0-55.0	0.528602	0.393595
0.0-2.4	6.5-30.0	50.0-60.0	0.534463	0.393961
0.0-2.4	6.5-30.0	55.0-60.0	0.5384	0.394463
0.0-2.4	6.5-30.0	60.0-100.0	0.529936	0.403991
0.0-2.4	6.5-30.0	60.0-70.0	0.530962	0.396853
0.0-2.4	6.5-30.0	70.0-100.0	0.527714	0.414373
0.0-2.4	6.5-7.5	0.0-100.0	0.350368	0.261277
0.0-2.4	6.5-8.0	0.0-100.0	0.366044	0.276655
0.0-2.4	6.5-8.5	0.0-100.0	0.382102	0.286107
0.0-2.4	7.5-8.5	0.0-100.0	0.423337	0.311651
0.0-2.4	8.0-10.0	0.0-100.0	0.496547	0.357019
0.0-2.4	8.5-9.5	0.0-100.0	0.504438	0.36171
0.0-2.4	9.5-11.0	0.0-100.0	0.577084	0.407899
0.4-0.8	6.5-30.0	0.0-100.0	0.543917	0.402229
0.8-1.2	6.5-30.0	0.0-100.0	0.516481	0.40891
1.2-1.6	6.5-30.0	0.0-10.0	0.445806	0.33355
1.2-1.6	6.5-30.0	0.0-100.0	0.485717	0.361592
1.2-1.6	6.5-30.0	10.0-20.0	0.501016	0.37882
1.2-1.6	6.5-30.0	20.0-30.0	0.505842	0.377766
1.2-1.6	6.5-30.0	30.0-40.0	0.525416	0.383347
1.2-1.6	6.5-30.0	40.0-50.0	0.518728	0.411452
1.2-1.6	6.5-30.0	50.0-100.0	0.544958	0.40715
1.6-2.0	6.5-30.0	0.0-100.0	0.436863	0.31652
1.6-2.4	3.0-30.0	0.0-100.0	0.275312	0.22926
1.6-2.4	3.0-4.5	0.0-100.0	0.160236	0.121219
1.6-2.4	3.0-5.5	0.0-100.0	0.194334	0.150992
1.6-2.4	3.0-6.5	0.0-10.0	0.187374	0.138121
1.6-2.4	3.0-6.5	0.0-100.0	0.223765	0.175442
1.6-2.4	3.0-6.5	0.0-20.0	0.194833	0.152133
1.6-2.4	3.0-6.5	10.0-20.0	0.205349	0.178369
1.6-2.4	3.0-6.5	20.0-30.0	0.236565	0.207061
1.6-2.4	3.0-6.5	20.0-40.0	0.26671	0.217681
1.6-2.4	3.0-6.5	30.0-40.0	0.312383	0.236356
1.6-2.4	3.0-6.5	40.0-100.0	0.311936	0.254863
1.6-2.4	3.0-6.5	40.0-50.0	0.30957	0.242082
1.6-2.4	3.0-6.5	50.0-100.0	0.314953	0.269334
1.6-2.4	4.5-5.5	0.0-100.0	0.254673	0.184988
1.6-2.4	5.5-6.5	0.0-100.0	0.334219	0.230123
1.6-2.4	6.5-30.0	0.0-10.0	0.373266	0.264567
1.6-2.4	6.5-30.0	0.0-100.0	0.40939	0.294618
1.6-2.4	6.5-30.0	10.0-20.0	0.403902	0.302481
1.6-2.4	6.5-30.0	20.0-30.0	0.431912	0.315989
1.6-2.4	6.5-30.0	30.0-40.0	0.464002	0.338428
1.6-2.4	6.5-30.0	40.0-50.0	0.477431	0.351039
1.6-2.4	6.5-30.0	50.0-100.0	0.486399	0.352109
2.0-2.4	6.5-30.0	0.0-100.0	0.346656	0.245859
