			PROMPT	Non-PROMPT
Rap	pT	cent	nominal eff	nominal eff
0.0-0.4	6.5-30.0	0.0-100.0	0.533472	0.555073
0.0-1.2	6.5-30.0	0.0-100.0	0.54283	0.561078
0.0-2.4	10.0-13.0	0.0-100.0	0.597401	0.580284
0.0-2.4	10.0-30.0	0.0-100.0	0.614851	0.600564
0.0-2.4	11.0-13.0	0.0-100.0	0.60614	0.595726
0.0-2.4	13.0-16.0	0.0-100.0	0.64429	0.625558
0.0-2.4	13.0-30.0	0.0-100.0	0.649346	0.628989
0.0-2.4	16.0-30.0	0.0-100.0	0.657438	0.633326
0.0-2.4	6.5-30.0	0.0-100.0	0.48044	0.494714
0.0-2.4	6.5-7.5	0.0-100.0	0.355717	0.350734
0.0-2.4	6.5-8.0	0.0-100.0	0.378478	0.368831
0.0-2.4	6.5-8.5	0.0-100.0	0.396379	0.387425
0.0-2.4	7.5-8.5	0.0-100.0	0.45027	0.428448
0.0-2.4	8.0-10.0	0.0-100.0	0.509852	0.493319
0.0-2.4	8.5-9.5	0.0-100.0	0.518859	0.500664
0.0-2.4	9.5-11.0	0.0-100.0	0.575163	0.551295
0.4-0.8	6.5-30.0	0.0-100.0	0.56969	0.580926
0.8-1.2	6.5-30.0	0.0-100.0	0.529916	0.550007
1.2-1.6	6.5-30.0	0.0-100.0	0.464063	0.466865
1.6-2.0	6.5-30.0	0.0-100.0	0.438998	0.432083
1.6-2.4	3.0-30.0	0.0-100.0	0.309857	0.332315
1.6-2.4	3.0-4.5	0.0-100.0	0.218053	0.214603
1.6-2.4	3.0-5.5	0.0-100.0	0.248701	0.249065
1.6-2.4	3.0-6.5	0.0-100.0	0.27137	0.27497
1.6-2.4	4.5-5.5	0.0-100.0	0.300096	0.294209
1.6-2.4	5.5-6.5	0.0-100.0	0.356419	0.342852
1.6-2.4	6.5-30.0	0.0-100.0	0.416948	0.409757
2.0-2.4	6.5-30.0	0.0-100.0	0.368883	0.357401
