					PROMPT				NonPROMPT	
Rap	pT	Cent		Mean	Sigma	relVariation		Mean	Sigma	relVariation
0.0-0.4	6.5-30.0	0.0-100.0		4.96551	0.123652	0.025		15.1917	0.400947	0.026
0.0-1.2	6.5-30.0	0.0-10.0		7.78667	0.298212	0.038		23.9687	0.846134	0.035
0.0-1.2	6.5-30.0	0.0-100.0		17.5799	0.391216	0.022		52.5644	1.0077	0.019
0.0-1.2	6.5-30.0	10.0-20.0		4.29111	0.154241	0.036		12.2917	0.355335	0.029
0.0-1.2	6.5-30.0	20.0-30.0		2.46067	0.0525686	0.021		7.42934	0.172768	0.023
0.0-1.2	6.5-30.0	30.0-40.0		1.48144	0.0926854	0.063		4.38687	0.139092	0.032
0.0-1.2	6.5-30.0	40.0-50.0		0.791664	0.0499729	0.063		2.28767	0.049138	0.021
0.0-1.2	6.5-30.0	50.0-100.0		0.723408	0.0236859	0.033		2.13775	0.0479471	0.022
0.0-2.4	10.0-13.0	0.0-100.0		6.75336	0.0365102	0.005		22.7307	0.0871366	0.004
0.0-2.4	10.0-30.0	0.0-100.0		10.2238	0.0392511	0.004		36.6127	0.109423	0.003
0.0-2.4	11.0-13.0	0.0-100.0		3.52377	0.0154442	0.004		12.5368	0.0432232	0.003
0.0-2.4	13.0-16.0	0.0-100.0		2.1744	0.00641129	0.003		8.255	0.0258602	0.003
0.0-2.4	13.0-30.0	0.0-100.0		3.46614	0.0170209	0.005		13.884	0.0491	0.004
0.0-2.4	16.0-30.0	0.0-100.0		1.29656	0.00593381	0.005		5.63275	0.0222753	0.004
0.0-2.4	6.5-30.0	0.0-10.0		17.5667	0.323173	0.018		48.5339	0.960144	0.020
0.0-2.4	6.5-30.0	0.0-100.0		39.4694	0.462249	0.012		108.661	1.16978	0.011
0.0-2.4	6.5-30.0	0.0-5.0		10.6175	0.204508	0.019		29.73	0.604338	0.020
0.0-2.4	6.5-30.0	10.0-15.0		5.30539	0.0936487	0.018		14.4327	0.200775	0.014
0.0-2.4	6.5-30.0	10.0-20.0		9.69828	0.182033	0.019		26.3025	0.507807	0.019
0.0-2.4	6.5-30.0	15.0-20.0		4.39733	0.0802328	0.018		11.81	0.181641	0.015
0.0-2.4	6.5-30.0	20.0-25.0		3.22725	0.0369279	0.011		9.2029	0.127807	0.014
0.0-2.4	6.5-30.0	20.0-30.0		5.46667	0.0614636	0.011		15.3533	0.196865	0.013
0.0-2.4	6.5-30.0	25.0-30.0		2.239	0.0254508	0.011		6.14125	0.0744455	0.012
0.0-2.4	6.5-30.0	30.0-35.0		1.91327	0.0525443	0.027		5.16755	0.0785747	0.015
0.0-2.4	6.5-30.0	30.0-40.0		3.37491	0.0929559	0.028		9.23467	0.158024	0.017
0.0-2.4	6.5-30.0	35.0-40.0		1.45944	0.0506674	0.035		4.0551	0.0596767	0.015
0.0-2.4	6.5-30.0	40.0-45.0		0.992557	0.00992222	0.010		2.8285	0.0198486	0.007
0.0-2.4	6.5-30.0	40.0-50.0		1.72374	0.032918	0.019		4.80267	0.0554133	0.012
0.0-2.4	6.5-30.0	45.0-50.0		0.73245	0.0275189	0.038		1.97525	0.0426454	0.022
0.0-2.4	6.5-30.0	5.0-10.0		6.95127	0.118166	0.017		18.801	0.404397	0.022
0.0-2.4	6.5-30.0	50.0-100.0		1.60353	0.0258689	0.016		4.42075	0.0524363	0.012
0.0-2.4	6.5-30.0	50.0-55.0		0.495614	0.0133611	0.027		1.35799	0.0124948	0.009
0.0-2.4	6.5-30.0	50.0-60.0		0.87437	0.0178736	0.020		2.40587	0.033226	0.014
0.0-2.4	6.5-30.0	55.0-60.0		0.377671	0.0119302	0.032		1.04796	0.0283302	0.027
0.0-2.4	6.5-30.0	60.0-100.0		0.727841	0.0123587	0.017		2.01275	0.026338	0.013
0.0-2.4	6.5-30.0	60.0-70.0		0.4375	0.00825582	0.019		1.1625	0.0111559	0.010
0.0-2.4	6.5-30.0	70.0-100.0		0.297254	0.00600903	0.020		0.8515	0.0213071	0.025
0.0-2.4	6.5-7.5	0.0-100.0		12.1938	0.411595	0.034		25.4574	0.979005	0.038
0.0-2.4	6.5-8.0	0.0-100.0		16.9107	0.433001	0.026		37.7745	1.06536	0.028
0.0-2.4	6.5-8.5	0.0-100.0		20.949	0.456263	0.022		48.0219	1.09295	0.023
0.0-2.4	7.5-8.5	0.0-100.0		8.78067	0.0834241	0.010		22.568	0.216842	0.010
0.0-2.4	8.0-10.0	0.0-100.0		12.3253	0.0836819	0.007		34.282	0.221882	0.006
0.0-2.4	8.5-9.5	0.0-100.0		6.00997	0.0455329	0.008		17.0213	0.115616	0.007
0.0-2.4	9.5-11.0	0.0-100.0		5.50245	0.0320514	0.006		17.1927	0.0847974	0.005
0.4-0.8	6.5-30.0	0.0-100.0		5.59183	0.292937	0.052		16.2655	0.592084	0.036
0.8-1.2	6.5-30.0	0.0-100.0		6.995	0.164544	0.024		21.141	0.455632	0.022
1.2-1.6	6.5-30.0	0.0-10.0		3.89611	0.138809	0.036		10.2275	0.316414	0.031
1.2-1.6	6.5-30.0	0.0-100.0		8.703	0.13817	0.016		23.086	0.330309	0.014
1.2-1.6	6.5-30.0	10.0-20.0		2.13598	0.0624112	0.029		5.66875	0.12915	0.023
1.2-1.6	6.5-30.0	20.0-30.0		1.19645	0.0167187	0.014		3.24534	0.051108	0.016
1.2-1.6	6.5-30.0	30.0-40.0		0.740776	0.016156	0.022		1.93745	0.0335386	0.017
1.2-1.6	6.5-30.0	40.0-50.0		0.370763	0.00808148	0.022		1.05443	0.0171727	0.016
1.2-1.6	6.5-30.0	50.0-100.0		0.364184	0.00827545	0.023		0.952416	0.0161289	0.017
1.6-2.0	6.5-30.0	0.0-100.0		9.225	0.133692	0.014		22.913	0.359346	0.016
1.6-2.4	3.0-30.0	0.0-100.0		52.3799	2.47112	0.047		76.6092	3.27214	0.043
1.6-2.4	3.0-4.5	0.0-100.0		19.8649	1.90422	0.096		16.4849	2.03557	0.123
1.6-2.4	3.0-5.5	0.0-100.0		31.1191	2.45848	0.079		30.8183	3.00965	0.098
1.6-2.4	3.0-6.5	0.0-10.0		17.9748	2.46979	0.137		18.8387	2.76882	0.147
1.6-2.4	3.0-6.5	0.0-100.0		39.2143	2.49813	0.064		43.5999	3.15252	0.072
1.6-2.4	3.0-6.5	0.0-20.0		27.7871	2.50545	0.090		30.4264	3.11948	0.103
1.6-2.4	3.0-6.5	10.0-20.0		9.80248	0.870614	0.089		11.5024	1.04232	0.091
1.6-2.4	3.0-6.5	20.0-30.0		4.506	0.305721	0.068		5.69394	0.306153	0.054
1.6-2.4	3.0-6.5	20.0-40.0		8.27001	0.559181	0.068		9.44502	0.511219	0.054
1.6-2.4	3.0-6.5	30.0-40.0		3.758	0.249271	0.066		3.75097	0.195265	0.052
1.6-2.4	3.0-6.5	40.0-100.0		3.129	0.123527	0.039		3.712	0.127105	0.034
1.6-2.4	3.0-6.5	40.0-50.0		1.56867	0.0669696	0.043		1.886	0.0701045	0.037
1.6-2.4	3.0-6.5	50.0-100.0		1.562	0.062722	0.040		1.81933	0.0655203	0.036
1.6-2.4	4.5-5.5	0.0-100.0		11.2625	0.73264	0.065		14.2648	1.31147	0.092
1.6-2.4	5.5-6.5	0.0-100.0		8.094	0.284365	0.035		12.814	0.525259	0.041
1.6-2.4	6.5-30.0	0.0-10.0		5.89811	0.147897	0.025		14.33	0.366367	0.026
1.6-2.4	6.5-30.0	0.0-100.0		13.198	0.164608	0.012		33.014	0.420577	0.013
1.6-2.4	6.5-30.0	10.0-20.0		3.25989	0.0790013	0.024		8.31125	0.170013	0.020
1.6-2.4	6.5-30.0	20.0-30.0		1.8279	0.0207966	0.024		4.67917	0.0680824	0.015
1.6-2.4	6.5-30.0	30.0-40.0		1.15716	0.0199361	0.011		2.90611	0.0490157	0.017
1.6-2.4	6.5-30.0	40.0-50.0		0.56021	0.0102361	0.017		1.46092	0.0201213	0.014
1.6-2.4	6.5-30.0	50.0-100.0		0.519374	0.0101939	0.018		1.33178	0.0195662	0.015
2.0-2.4	6.5-30.0	0.0-100.0		3.976	0.0996195	0.020		10.097	0.284056	0.028
