					PROMPT				NonPROMPT	
Rap	pT	Cent		Mean	Sigma	relVariation		Mean	Sigma	relVariation
0.0-0.4	6.5-30.0	0.0-100.0		0.512	0.012 	0.0236270976		0.388	0.008	0.0214788771
0.0-1.2	6.5-30.0	0.0-10.0		0.500	0.012 	0.0248510052		0.388	0.009	0.0226161346
0.0-1.2	6.5-30.0	0.0-100.0		0.521	0.013 	0.0248268834		0.398	0.009	0.0226604912
0.0-1.2	6.5-30.0	10.0-20.0		0.531	0.013 	0.0247530882		0.398	0.009	0.0227276406
0.0-1.2	6.5-30.0	20.0-30.0		0.529	0.013 	0.0249406719		0.409	0.009	0.0227968975
0.0-1.2	6.5-30.0	30.0-40.0		0.538	0.013 	0.0246794425		0.411	0.009	0.0226666083
0.0-1.2	6.5-30.0	40.0-50.0		0.537	0.013 	0.0248528274		0.414	0.009	0.022414215
0.0-1.2	6.5-30.0	50.0-100.0		0.559	0.014 	0.0250460544		0.420	0.009	0.0225496325
0.0-2.4	10.0-13.0	0.0-100.0		0.587	0.011 	0.0181029003		0.413	0.007	0.0179889363
0.0-2.4	10.0-30.0	0.0-100.0		0.606	0.011 	0.0176099135		0.423	0.007	0.0175553869
0.0-2.4	11.0-13.0	0.0-100.0		0.603	0.011 	0.0176456155		0.425	0.007	0.0176200914
0.0-2.4	13.0-16.0	0.0-100.0		0.639	0.012 	0.018108062		0.440	0.008	0.0181997661
0.0-2.4	13.0-30.0	0.0-100.0		0.643	0.012 	0.0186495497		0.439	0.008	0.018914187
0.0-2.4	16.0-30.0	0.0-100.0		0.649	0.013 	0.0198416602		0.436	0.009	0.0203633065
0.0-2.4	6.5-30.0	0.0-10.0		0.192	0.006 	0.0333034612		0.141	0.005	0.0322608406
0.0-2.4	6.5-30.0	0.0-100.0		0.470	0.010 	0.0221684482		0.354	0.007	0.0208329002
0.0-2.4	6.5-30.0	0.0-5.0		0.426	0.009 	0.0223047522		0.327	0.007	0.0206949421
0.0-2.4	6.5-30.0	10.0-15.0		0.463	0.010 	0.0220081652		0.359	0.008	0.0209474766
0.0-2.4	6.5-30.0	10.0-20.0		0.211	0.007 	0.0353456845		0.182	0.006	0.0334599625
0.0-2.4	6.5-30.0	15.0-20.0		0.488	0.011 	0.0223707906		0.361	0.008	0.0209445425
0.0-2.4	6.5-30.0	20.0-25.0		0.484	0.011 	0.0222085661		0.373	0.008	0.0209458366
0.0-2.4	6.5-30.0	20.0-30.0		0.243	0.009 	0.0352085462		0.211	0.007	0.0321852391
0.0-2.4	6.5-30.0	25.0-30.0		0.489	0.011 	0.0218238034		0.362	0.008	0.0210167219
0.0-2.4	6.5-30.0	30.0-35.0		0.505	0.011 	0.0219787118		0.373	0.008	0.0207168797
0.0-2.4	6.5-30.0	30.0-40.0		0.321	0.011 	0.0349988631		0.241	0.008	0.0325833068
0.0-2.4	6.5-30.0	35.0-40.0		0.506	0.011 	0.0220580587		0.385	0.008	0.0208756462
0.0-2.4	6.5-30.0	40.0-45.0		0.511	0.011 	0.0219618321		0.392	0.008	0.020537499
0.0-2.4	6.5-30.0	40.0-50.0		0.317	0.011 	0.0353977832		0.247	0.008	0.0327411816
0.0-2.4	6.5-30.0	45.0-50.0		0.504	0.011 	0.0219387168		0.385	0.008	0.0206618438
0.0-2.4	6.5-30.0	5.0-10.0		0.460	0.010 	0.0223168843		0.348	0.007	0.0209665451
0.0-2.4	6.5-30.0	50.0-100.0		0.323	0.011 	0.0350088249		0.275	0.009	0.0331565
0.0-2.4	6.5-30.0	50.0-55.0		0.522	0.012 	0.0220844909		0.387	0.008	0.0205718254
0.0-2.4	6.5-30.0	50.0-60.0		0.528	0.012 	0.0221637544		0.387	0.008	0.020616827
0.0-2.4	6.5-30.0	55.0-60.0		0.531	0.012 	0.0222192526		0.388	0.008	0.0206840074
0.0-2.4	6.5-30.0	60.0-100.0		0.522	0.011 	0.021969958		0.397	0.008	0.020647588
0.0-2.4	6.5-30.0	60.0-70.0		0.524	0.011 	0.0219618921		0.390	0.008	0.0206201371
0.0-2.4	6.5-30.0	70.0-100.0		0.520	0.011 	0.0219895288		0.407	0.008	0.0206881049
0.0-2.4	6.5-7.5	0.0-100.0		0.353	0.011 	0.0304945615		0.264	0.008	0.0308593854
0.0-2.4	6.5-8.0	0.0-100.0		0.368	0.011 	0.0304037521		0.278	0.009	0.0305976516
0.0-2.4	6.5-8.5	0.0-100.0		0.383	0.011 	0.0298111189		0.287	0.009	0.0299907007
0.0-2.4	7.5-8.5	0.0-100.0		0.422	0.012 	0.0293790209		0.311	0.009	0.0295356194
0.0-2.4	8.0-10.0	0.0-100.0		0.490	0.012 	0.0245664327		0.352	0.009	0.0247489403
0.0-2.4	8.5-9.5	0.0-100.0		0.497	0.012 	0.0241953771		0.356	0.009	0.0245510946
0.0-2.4	9.5-11.0	0.0-100.0		0.563	0.011 	0.0197955933		0.398	0.008	0.0198312447
0.4-0.8	6.5-30.0	0.0-100.0		0.537	0.013 	0.0240687343		0.396	0.009	0.0219425477
0.8-1.2	6.5-30.0	0.0-100.0		0.516	0.014 	0.0267143873		0.407	0.010	0.0246703004
1.2-1.6	6.5-30.0	0.0-10.0		0.442	0.010 	0.0220667266		0.329	0.007	0.0205718104
1.2-1.6	6.5-30.0	0.0-100.0		0.482	0.010 	0.0216781722		0.357	0.007	0.0203684153
1.2-1.6	6.5-30.0	10.0-20.0		0.497	0.011 	0.0217293151		0.374	0.008	0.0203478624
1.2-1.6	6.5-30.0	20.0-30.0		0.502	0.011 	0.0213946042		0.372	0.008	0.0202205472
1.2-1.6	6.5-30.0	30.0-40.0		0.522	0.011 	0.0213012613		0.379	0.008	0.0203781905
1.2-1.6	6.5-30.0	40.0-50.0		0.515	0.011 	0.0212730357		0.407	0.008	0.0200852322
1.2-1.6	6.5-30.0	50.0-100.0		0.541	0.011 	0.0211811487		0.402	0.008	0.01977517
1.6-2.0	6.5-30.0	0.0-100.0		0.427 	0.013 	0.029860683		0.308	0.009	0.0308355361
1.6-2.4	3.0-30.0	0.0-100.0		0.276 	0.008 	0.0296433562		0.227	0.007	0.0293009161
1.6-2.4	3.0-4.5	0.0-100.0		0.167 	0.009 	0.0511934324		0.126	0.006	0.0456653483
1.6-2.4	3.0-5.5	0.0-100.0		0.201 	0.008 	0.0399372468		0.156	0.006	0.0376889057
1.6-2.4	3.0-6.5	0.0-10.0		0.440 	0.010 	0.0223072271		0.335	0.007	0.0207976183
1.6-2.4	3.0-6.5	0.0-100.0		0.229 	0.008 	0.034462162		0.179	0.006	0.0326145846
1.6-2.4	3.0-6.5	0.0-20.0		0.200 	0.007 	0.0340144213		0.155	0.005	0.0327119649
1.6-2.4	3.0-6.5	10.0-20.0		0.476 	0.011 	0.0222046378		0.360	0.008	0.0209437971
1.6-2.4	3.0-6.5	20.0-30.0		0.486 	0.011 	0.0220490353		0.369	0.008	0.0209721616
1.6-2.4	3.0-6.5	20.0-40.0		0.274 	0.010 	0.0350724447		0.222	0.007	0.0323408715
1.6-2.4	3.0-6.5	30.0-40.0		0.505 	0.011 	0.0220009936		0.378	0.008	0.0207825581
1.6-2.4	3.0-6.5	40.0-100.0		0.320 	0.011 	0.0352006359		0.260	0.009	0.0329147144
1.6-2.4	3.0-6.5	40.0-50.0		0.507 	0.011 	0.0219495181		0.389	0.008	0.0205863268
1.6-2.4	3.0-6.5	50.0-100.0		0.525 	0.012 	0.0220826974		0.392	0.008	0.0206302577
1.6-2.4	4.5-5.5	0.0-100.0		0.261	0.009 	0.0332517223		0.189	0.006	0.033018851
1.6-2.4	5.5-6.5	0.0-100.0		0.337	0.010 	0.0305005942		0.232	0.007	0.0297046632
1.6-2.4	6.5-30.0	0.0-10.0		0.363	0.012 	0.0319733067		0.256	0.008	0.0329038113
1.6-2.4	6.5-30.0	0.0-100.0		0.398	0.013 	0.0320572587		0.285	0.009	0.0330390243
1.6-2.4	6.5-30.0	10.0-20.0		0.392	0.013 	0.0325266652		0.293	0.010	0.0335422825
1.6-2.4	6.5-30.0	20.0-30.0		0.420	0.013 	0.0317254369		0.306	0.010	0.0333587212
1.6-2.4	6.5-30.0	30.0-40.0		0.451	0.014 	0.0320217562		0.328	0.011	0.0324136249
1.6-2.4	6.5-30.0	40.0-50.0		0.464	0.015 	0.0316127379		0.340	0.011	0.0323281384
1.6-2.4	6.5-30.0	50.0-100.0		0.473	0.015 	0.03199436		0.341	0.011	0.0326825779
2.0-2.4	6.5-30.0	0.0-100.0		0.332	0.013 	0.0399577682		0.235	0.010	0.0407579703
