					PROMPT				NonPROMPT	
Rap	pT	Cent		Mean	Sigma	relVariation		Mean	Sigma	relVariation
0.0-0.4	6.5-30.0	0.0-100.0		0.494	0.00	0.0062628302		0.379	0.002	0.0059622152
0.0-1.2	6.5-30.0	0.0-10.0		0.479	0.01	0.0247195141		0.376	0.009	0.024866503
0.0-1.2	6.5-30.0	0.0-100.0		0.500	0.01	0.025908191		0.385	0.010	0.025279951
0.0-1.2	6.5-30.0	10.0-20.0		0.510	0.01	0.0264353727		0.385	0.010	0.0254414735
0.0-1.2	6.5-30.0	20.0-30.0		0.507	0.01	0.0268231791		0.396	0.010	0.0257114764
0.0-1.2	6.5-30.0	30.0-40.0		0.516	0.01	0.0265636529		0.398	0.010	0.0256465972
0.0-1.2	6.5-30.0	40.0-50.0		0.515	0.01	0.0266695657		0.401	0.010	0.0259654356
0.0-1.2	6.5-30.0	50.0-100.0		0.536	0.01	0.0269088234		0.407	0.010	0.0257014146
0.0-2.4	10.0-13.0	0.0-100.0		0.606	0.03	0.0443553621		0.425	0.018	0.0427819935
0.0-2.4	10.0-30.0	0.0-100.0		0.632	0.03	0.042625158		0.440	0.018	0.0407589534
0.0-2.4	11.0-13.0	0.0-100.0		0.627	0.03	0.0428153521		0.441	0.018	0.0411140373
0.0-2.4	13.0-16.0	0.0-100.0		0.675	0.03	0.0406126301		0.464	0.018	0.0397126755
0.0-2.4	13.0-30.0	0.0-100.0		0.683	0.03	0.0398555873		0.465	0.018	0.037979312
0.0-2.4	16.0-30.0	0.0-100.0		0.695	0.03	0.0387224997		0.466	0.017	0.0356075227
0.0-2.4	6.5-30.0	0.0-10.0		0.444	0.02	0.0532315693		0.339	0.017	0.049442991
0.0-2.4	6.5-30.0	0.0-100.0		0.476	0.03	0.0549994011		0.360	0.018	0.0508750712
0.0-2.4	6.5-30.0	0.0-5.0		0.430	0.02	0.0524493475		0.331	0.016	0.0493337766
0.0-2.4	6.5-30.0	10.0-15.0		0.468	0.03	0.0546554923		0.375	0.013	0.0344949974
0.0-2.4	6.5-30.0	10.0-20.0		0.482	0.03	0.0547926637		0.366	0.019	0.0513700574
0.0-2.4	6.5-30.0	15.0-20.0		0.495	0.03	0.0549086002		0.375	0.015	0.0406015639
0.0-2.4	6.5-30.0	20.0-25.0		0.490	0.03	0.0557012304		0.381	0.020	0.0512830735
