					PROMPT				Non-PROMPT	
Rap	pT	cent		Mean	Sigma	relVariation		Mean	Sigma	relVariation
0.0-0.4	6.5-30.0	0.0-100.0		10252.5	243.656	0.024		73912.5	1581.68	0.021
0.0-1.2	6.5-30.0	0.0-100.0		36722.5	772.894	0.021		247232	6343.64	0.026
0.0-2.4	10.0-13.0	0.0-100.0		14176	89.0168	0.006		109053	634.264	0.006
0.0-2.4	10.0-30.0	0.0-100.0		21416	134.327	0.006		187959	1166.88	0.006
0.0-2.4	11.0-13.0	0.0-100.0		7405.33	52.6404	0.007		61374	371.664	0.006
0.0-2.4	13.0-16.0	0.0-100.0		4448.74	36.1575	0.008		44194	338.77	0.008
0.0-2.4	13.0-30.0	0.0-100.0		7245.99	69.2643	0.010		78906	649.663	0.008
0.0-2.4	16.0-30.0	0.0-100.0		2797.64	33.706	0.012		34720	326.8	0.009
0.0-2.4	6.5-30.0	0.0-100.0		85332	844.826	0.010		506694	6696.65	0.013
0.0-2.4	6.5-7.5	0.0-100.0		26940	886.754	0.033		118934	5848.16	0.049
0.0-2.4	6.5-8.0	0.0-100.0		37630	955.563	0.025		168882	6015.13	0.036
0.0-2.4	6.5-8.5	0.0-100.0		46350.1	931.447	0.020		214036	5990.88	0.028
0.0-2.4	7.5-8.5	0.0-100.0		19401	110.901	0.006		95031	587.655	0.006
0.0-2.4	8.0-10.0	0.0-100.0		26286	132.301	0.005		149592	921.748	0.006
0.0-2.4	8.5-9.5	0.0-100.0		12842	70.3258	0.005		74382	482.461	0.006
0.0-2.4	9.5-11.0	0.0-100.0		11484.2	63.397	0.006		77772	444.202	0.006
0.4-0.8	6.5-30.0	0.0-100.0		11870	629.471	0.053		80362.2	4079.67	0.051
0.8-1.2	6.5-30.0	0.0-100.0		14604	177.438	0.012		92712	974.323	0.011
1.2-1.6	6.5-30.0	0.0-100.0		18720	182.889	0.010		106778	1058.83	0.010
1.6-2.0	6.5-30.0	0.0-100.0		20452	217.474	0.011		107042	1089.33	0.010
1.6-2.4	3.0-30.0	0.0-100.0		122032	7750.16	0.064		391120	22071.7	0.056
1.6-2.4	3.0-4.5	0.0-100.0		46380.4	6563.15	0.142		106802	20565.7	0.193
1.6-2.4	3.0-5.5	0.0-100.0		73760	8007.88	0.109		179272	22709.1	0.127
1.6-2.4	3.0-6.5	0.0-100.0		92129.9	7875.37	0.085		238355	22477.2	0.094
1.6-2.4	4.5-5.5	0.0-100.0		26366	281.502	0.011		70644	813.678	0.012
1.6-2.4	5.5-6.5	0.0-100.0		18318	257.811	0.014		59104	772.779	0.013
1.6-2.4	6.5-30.0	0.0-100.0		29892	278.271	0.009		152730	1330.19	0.009
2.0-2.4	6.5-30.0	0.0-100.0		9436	166.778	0.018		45686	799.127	0.017
