					PROMPT				Non-PROMPT	
Rap	pT	cent		Mean	Sigma	relVariation		Mean	Sigma	relVariation
0.0-0.4	6.5-30.0	0.0-100.0		0.527	0.011	0.0202145418		0.548	0.010	0.0179143822
0.0-1.2	6.5-30.0	0.0-100.0		0.537	0.012	0.0218238008		0.554	0.010	0.0188950278
0.0-2.4	10.0-13.0	0.0-100.0		0.592	0.009	0.0156147368		0.574	0.009	0.0154191093
0.0-2.4	10.0-30.0	0.0-100.0		0.608	0.009	0.0150429256		0.594	0.009	0.0149144446
0.0-2.4	11.0-13.0	0.0-100.0		0.600	0.009	0.0154946235		0.589	0.009	0.0152441578
0.0-2.4	13.0-16.0	0.0-100.0		0.637	0.010	0.0153097669		0.618	0.010	0.0155989483
0.0-2.4	13.0-30.0	0.0-100.0		0.641	0.010	0.0157622671		0.621	0.010	0.0160046775
0.0-2.4	16.0-30.0	0.0-100.0		0.649	0.011	0.0169803644		0.625	0.011	0.0171023773
0.0-2.4	6.5-30.0	0.0-100.0		0.478	0.009	0.019709542		0.491	0.009	0.0177579542
0.0-2.4	6.5-7.5	0.0-100.0		0.356	0.009	0.0263502826		0.350	0.010	0.0276184672
0.0-2.4	6.5-8.0	0.0-100.0		0.378	0.010	0.0265479469		0.368	0.010	0.0270225233
0.0-2.4	6.5-8.5	0.0-100.0		0.396	0.010	0.0260893301		0.387	0.010	0.0264668905
0.0-2.4	7.5-8.5	0.0-100.0		0.449	0.012	0.0260530362		0.427	0.011	0.0265452629
0.0-2.4	8.0-10.0	0.0-100.0		0.507	0.011	0.0218241004		0.490	0.011	0.0217413566
0.0-2.4	8.5-9.5	0.0-100.0		0.516	0.011	0.0219302362		0.497	0.011	0.0214884844
0.0-2.4	9.5-11.0	0.0-100.0		0.570	0.010	0.0173747479		0.547	0.010	0.0176935773
0.4-0.8	6.5-30.0	0.0-100.0		0.563	0.012	0.0211326953		0.574	0.011	0.0184426044
0.8-1.2	6.5-30.0	0.0-100.0		0.525	0.013	0.0241315539		0.544	0.011	0.0207564586
1.2-1.6	6.5-30.0	0.0-100.0		0.461	0.009	0.0192924682		0.463	0.008	0.0172198597
1.6-2.0	6.5-30.0	0.0-100.0		0.440	0.012	0.0271241414		0.433	0.012	0.0278916233
1.6-2.4	3.0-30.0	0.0-100.0		0.311	0.009	0.0273881781		0.333	0.009	0.0263444849
1.6-2.4	3.0-4.5	0.0-100.0		0.219	0.010	0.0471610984		0.215	0.010	0.0446758508
1.6-2.4	3.0-5.5	0.0-100.0		0.249	0.009	0.0365790592		0.250	0.009	0.0351426855
1.6-2.4	3.0-6.5	0.0-100.0		0.418	0.012	0.0289582337		0.276	0.008	0.0302918061
1.6-2.4	4.5-5.5	0.0-100.0		0.301	0.010	0.0316655874		0.295	0.009	0.030323444
1.6-2.4	5.5-6.5	0.0-100.0		0.358	0.011	0.0294620979		0.344	0.009	0.0270148008
1.6-2.4	6.5-30.0	0.0-100.0		0.418	0.012	0.0289582337		0.411	0.012	0.0298076057
2.0-2.4	6.5-30.0	0.0-100.0		0.371	0.013	0.0355903601		0.359	0.014	0.0375776881
