					PROMPT				Non-PROMPT	
Rap	pT	cent		Mean	Sigma	relVariation		Mean	Sigma	relVariation
0.0-0.4	6.5-30.0	0.0-100.0		0.501	0.003	0.006618727		0.526	0.003	0.0064175812
0.0-1.2	6.5-30.0	0.0-100.0		0.506	0.002	0.0046773285		0.528	0.002	0.0045612282
0.0-2.4	10.0-13.0	0.0-100.0		0.576	0.002	0.0039455511		0.560	0.002	0.0039407364
0.0-2.4	10.0-30.0	0.0-100.0		0.598	0.002	0.004048892		0.585	0.002	0.0041256401
0.0-2.4	11.0-13.0	0.0-100.0		0.589	0.003	0.004317988		0.578	0.003	0.0044276074
0.0-2.4	13.0-16.0	0.0-100.0		0.632	0.003	0.0045488426		0.614	0.003	0.0047080248
0.0-2.4	13.0-30.0	0.0-100.0		0.640	0.003	0.0044354097		0.621	0.003	0.0045442462
0.0-2.4	16.0-30.0	0.0-100.0		0.652	0.003	0.004714862		0.629	0.003	0.0051085694
0.0-2.4	6.5-30.0	0.0-100.0		0.453	0.002	0.003873498		0.470	0.002	0.0036555314
0.0-2.4	6.5-7.5	0.0-100.0		0.325	0.002	0.0063198412		0.320	0.002	0.0067089482
0.0-2.4	6.5-8.0	0.0-100.0		0.347	0.002	0.0055912633		0.337	0.002	0.0054613994
0.0-2.4	6.5-8.5	0.0-100.0		0.364	0.002	0.005225494		0.356	0.002	0.0050478118
0.0-2.4	7.5-8.5	0.0-100.0		0.417	0.002	0.0048702109		0.396	0.002	0.0046766496
0.0-2.4	8.0-10.0	0.0-100.0		0.478	0.002	0.0040725486		0.463	0.002	0.0039944544
0.0-2.4	8.5-9.5	0.0-100.0		0.487	0.002	0.0042556584		0.470	0.002	0.0042634558
0.0-2.4	9.5-11.0	0.0-100.0		0.549	0.002	0.0041636668		0.526	0.002	0.0042385304
0.4-0.8	6.5-30.0	0.0-100.0		0.534	0.003	0.005732851		0.549	0.003	0.0055494648
0.8-1.2	6.5-30.0	0.0-100.0		0.490	0.002	0.005011368		0.514	0.002	0.0046979079
1.2-1.6	6.5-30.0	0.0-100.0		0.432	0.003	0.0059938834		0.439	0.003	0.0060694943
1.6-2.0	6.5-30.0	0.0-100.0		0.420	0.003	0.0076767112		0.417	0.003	0.0078350389
1.6-2.4	3.0-30.0	0.0-100.0		0.278	0.003	0.0089917225		0.307	0.003	0.0084041905
1.6-2.4	3.0-4.5	0.0-100.0		0.185	0.008	0.042339594		0.178	0.006	0.0343002532
1.6-2.4	3.0-5.5	0.0-100.0		0.210	0.002	0.0117064256		0.211	0.002	0.0114149368
1.6-2.4	3.0-6.5	0.0-100.0		0.234	0.002	0.0105660764		0.239	0.002	0.0101742542
1.6-2.4	4.5-5.5	0.0-100.0		0.263	0.001	0.0038095238		0.257	0.002	0.0068226121
1.6-2.4	5.5-6.5	0.0-100.0		0.326	0.012	0.038303914		0.313	0.006	0.0198079489
1.6-2.4	6.5-30.0	0.0-100.0		0.402	0.004	0.008729211		0.398	0.003	0.0087079078
2.0-2.4	6.5-30.0	0.0-100.0		0.362	0.006	0.0154491753		0.354	0.005	0.0149994351
