				PROMPT			NonPROMPT	
Rap	pT	Cent	Mean	Sigma	relVariation	Mean	Sigma	relVariation
0.0-0.4	6.5-30.0	0.0-100.0	0.518389	0.00537429	0.010	0.394394	0.00383786	0.010
0.0-1.2	6.5-30.0	0.0-10.0	0.503979	0.00395382	0.008	0.392735	0.00291637	0.007
0.0-1.2	6.5-30.0	0.0-100.0	0.525243	0.00406761	0.008	0.402389	0.00300105	0.007
0.0-1.2	6.5-30.0	10.0-20.0	0.535567	0.00413743	0.008	0.402594	0.00302936	0.008
0.0-1.2	6.5-30.0	20.0-30.0	0.533424	0.00403302	0.008	0.413513	0.00308418	0.007
0.0-1.2	6.5-30.0	30.0-40.0	0.54268	0.00420429	0.008	0.415617	0.00310945	0.007
0.0-1.2	6.5-30.0	40.0-50.0	0.541699	0.00422587	0.008	0.418641	0.00310892	0.007
0.0-1.2	6.5-30.0	50.0-100.0	0.562465	0.00436641	0.008	0.425163	0.00316089	0.007
0.0-2.4	10.0-13.0	0.0-100.0	0.604481	0.00385171	0.006	0.425298	0.00268514	0.006
0.0-2.4	10.0-30.0	0.0-100.0	0.626427	0.00408133	0.007	0.437221	0.0028341	0.006
0.0-2.4	11.0-13.0	0.0-100.0	0.622933	0.00404175	0.006	0.438703	0.00281133	0.006
0.0-2.4	13.0-16.0	0.0-100.0	0.663513	0.00462271	0.007	0.457145	0.00319015	0.007
0.0-2.4	13.0-30.0	0.0-100.0	0.668322	0.00482462	0.007	0.456085	0.00329108	0.007
0.0-2.4	16.0-30.0	0.0-100.0	0.676088	0.00520618	0.008	0.454516	0.00348648	0.008
0.0-2.4	6.5-30.0	0.0-10.0	0.44613	0.00275692	0.006	0.340345	0.00201059	0.006
0.0-2.4	6.5-30.0	0.0-100.0	0.476783	0.00299875	0.006	0.36007	0.00216156	0.006
0.0-2.4	6.5-30.0	0.0-5.0	0.431905	0.00263924	0.006	0.332273	0.00195762	0.006
0.0-2.4	6.5-30.0	10.0-15.0	0.46993	0.00292007	0.006	0.364894	0.00220838	0.006
0.0-2.4	6.5-30.0	10.0-20.0	0.482958	0.00302641	0.006	0.366206	0.00221558	0.006
0.0-2.4	6.5-30.0	15.0-20.0	0.494089	0.00312434	0.006	0.367818	0.00222923	0.006
0.0-2.4	6.5-30.0	20.0-25.0	0.490468	0.00309752	0.006	0.379735	0.00232558	0.006
0.0-2.4	6.5-30.0	20.0-30.0	0.492728	0.00312175	0.006	0.37523	0.00229335	0.006
0.0-2.4	6.5-30.0	25.0-30.0	0.496199	0.00318233	0.006	0.368728	0.00225333	0.006
0.0-2.4	6.5-30.0	30.0-35.0	0.511801	0.00332655	0.006	0.379348	0.00236132	0.006
0.0-2.4	6.5-30.0	30.0-40.0	0.512012	0.00331199	0.006	0.38447	0.00237091	0.006
0.0-2.4	6.5-30.0	35.0-40.0	0.512421	0.0033338	0.007	0.391238	0.00238871	0.006
0.0-2.4	6.5-30.0	40.0-45.0	0.517862	0.0035202	0.007	0.39909	0.00250546	0.006
0.0-2.4	6.5-30.0	40.0-50.0	0.514529	0.00344232	0.007	0.395863	0.00244304	0.006
0.0-2.4	6.5-30.0	45.0-50.0	0.511433	0.00337912	0.007	0.391258	0.00238402	0.006
0.0-2.4	6.5-30.0	5.0-10.0	0.466691	0.00295194	0.006	0.354076	0.00210368	0.006
0.0-2.4	6.5-30.0	50.0-100.0	0.532348	0.00349895	0.007	0.398333	0.00246064	0.006
0.0-2.4	6.5-30.0	50.0-55.0	0.528387	0.00340072	0.006	0.393444	0.00243931	0.006
0.0-2.4	6.5-30.0	50.0-60.0	0.534241	0.00348687	0.007	0.393817	0.00243517	0.006
0.0-2.4	6.5-30.0	55.0-60.0	0.538173	0.00354824	0.007	0.39433	0.00243357	0.006
0.0-2.4	6.5-30.0	60.0-100.0	0.529698	0.00352127	0.007	0.40383	0.00249324	0.006
0.0-2.4	6.5-30.0	60.0-70.0	0.530695	0.0035358	0.007	0.396684	0.0024431	0.006
0.0-2.4	6.5-30.0	70.0-100.0	0.527541	0.00349781	0.007	0.414222	0.00256913	0.006
0.0-2.4	6.5-7.5	0.0-100.0	0.350126	0.0034539	0.010	0.261105	0.0025168	0.010
0.0-2.4	6.5-8.0	0.0-100.0	0.36586	0.00329219	0.009	0.276505	0.00240049	0.009
0.0-2.4	6.5-8.5	0.0-100.0	0.381949	0.00321291	0.008	0.286011	0.00231259	0.008
0.0-2.4	7.5-8.5	0.0-100.0	0.423298	0.00313042	0.007	0.311633	0.00227333	0.007
0.0-2.4	8.0-10.0	0.0-100.0	0.496573	0.00328999	0.007	0.357082	0.00236755	0.007
0.0-2.4	8.5-9.5	0.0-100.0	0.504484	0.00333603	0.007	0.361749	0.00242698	0.007
0.0-2.4	9.5-11.0	0.0-100.0	0.577122	0.00367189	0.006	0.407934	0.00258326	0.006
0.4-0.8	6.5-30.0	0.0-100.0	0.543838	0.0048655	0.009	0.402145	0.00337122	0.008
0.8-1.2	6.5-30.0	0.0-100.0	0.516528	0.00395342	0.008	0.408936	0.00317419	0.008
1.2-1.6	6.5-30.0	0.0-10.0	0.445931	0.00412159	0.009	0.333536	0.00309836	0.009
1.2-1.6	6.5-30.0	0.0-100.0	0.485742	0.00445545	0.009	0.361546	0.00334513	0.009
1.2-1.6	6.5-30.0	10.0-20.0	0.501031	0.00458533	0.009	0.378717	0.00351477	0.009
1.2-1.6	6.5-30.0	20.0-30.0	0.505807	0.00464752	0.009	0.377718	0.0034856	0.009
1.2-1.6	6.5-30.0	30.0-40.0	0.525277	0.00486661	0.009	0.383353	0.00355397	0.009
1.2-1.6	6.5-30.0	40.0-50.0	0.518701	0.00479807	0.009	0.411329	0.00384639	0.009
1.2-1.6	6.5-30.0	50.0-100.0	0.544799	0.00508125	0.009	0.407085	0.00381039	0.009
1.6-2.0	6.5-30.0	0.0-100.0	0.436397	0.00514054	0.012	0.316219	0.00364256	0.012
1.6-2.4	3.0-30.0	0.0-100.0	0.274452	0.00568506	0.021	0.228888	0.00397835	0.017
1.6-2.4	3.0-4.5	0.0-100.0	0.158815	0.00734723	0.046	0.120684	0.00518543	0.043
1.6-2.4	3.0-5.5	0.0-100.0	0.193149	0.00689236	0.036	0.150439	0.00516082	0.034
1.6-2.4	3.0-6.5	0.0-10.0	0.186577	0.00472223	0.025	0.137775	0.00370783	0.027
1.6-2.4	3.0-6.5	0.0-100.0	0.222713	0.00639039	0.029	0.174946	0.00480772	0.027
1.6-2.4	3.0-6.5	0.0-20.0	0.193814	0.00531847	0.027	0.151727	0.00420533	0.028
1.6-2.4	3.0-6.5	10.0-20.0	0.204017	0.00644791	0.032	0.177851	0.00515648	0.029
1.6-2.4	3.0-6.5	20.0-30.0	0.235707	0.00706265	0.030	0.206396	0.00575626	0.028
1.6-2.4	3.0-6.5	20.0-40.0	0.265733	0.00808913	0.030	0.217054	0.00594048	0.027
1.6-2.4	3.0-6.5	30.0-40.0	0.311224	0.00977163	0.031	0.235795	0.00631574	0.027
1.6-2.4	3.0-6.5	40.0-100.0	0.31045	0.00987677	0.032	0.253971	0.00685161	0.027
1.6-2.4	3.0-6.5	40.0-50.0	0.307888	0.00983279	0.032	0.241236	0.00623351	0.026
1.6-2.4	3.0-6.5	50.0-100.0	0.313717	0.00996418	0.032	0.268389	0.00773145	0.029
1.6-2.4	4.5-5.5	0.0-100.0	0.253907	0.00643447	0.025	0.184416	0.00526874	0.029
1.6-2.4	5.5-6.5	0.0-100.0	0.333667	0.00592838	0.018	0.229753	0.00446429	0.019
1.6-2.4	6.5-30.0	0.0-10.0	0.372991	0.00513068	0.014	0.264483	0.00365169	0.014
1.6-2.4	6.5-30.0	0.0-100.0	0.409027	0.00577033	0.014	0.294395	0.0041268	0.014
1.6-2.4	6.5-30.0	10.0-20.0	0.403561	0.00573723	0.014	0.302183	0.00425063	0.014
1.6-2.4	6.5-30.0	20.0-30.0	0.431499	0.00619017	0.014	0.315638	0.00460678	0.015
