				PROMPT			NonPROMPT	
Rap	pT	Cent	Mean	MaxVar	relVariation	Mean	MaxVar	relVariation
0.0-0.4	6.5-30.0	0.0-100.0	0.518	0.006 	0.012	0.394	0.005 	0.012
0.0-1.2	6.5-30.0	0.0-10.0	0.504	0.006 	0.012	0.393	0.005 	0.012
0.0-1.2	6.5-30.0	0.0-100.0	0.525	0.006 	0.012	0.402	0.005 	0.012
0.0-1.2	6.5-30.0	10.0-20.0	0.536	0.006 	0.012	0.403	0.005 	0.012
0.0-1.2	6.5-30.0	20.0-30.0	0.533	0.006 	0.012	0.414	0.005 	0.012
0.0-1.2	6.5-30.0	30.0-40.0	0.543	0.007 	0.012	0.416	0.005 	0.012
0.0-1.2	6.5-30.0	40.0-50.0	0.542	0.006 	0.012	0.419	0.005 	0.012
0.0-1.2	6.5-30.0	50.0-100.0	0.562	0.007 	0.012	0.425	0.005 	0.012
0.0-2.4	10.0-13.0	0.0-100.0	0.605	0.007 	0.011	0.425	0.005 	0.011
0.0-2.4	10.0-30.0	0.0-100.0	0.627	0.007 	0.011	0.437	0.005 	0.010
0.0-2.4	11.0-13.0	0.0-100.0	0.623	0.007 	0.011	0.439	0.005 	0.011
0.0-2.4	13.0-16.0	0.0-100.0	0.664	0.007 	0.010	0.457	0.005 	0.010
0.0-2.4	13.0-30.0	0.0-100.0	0.669	0.007 	0.010	0.456	0.004 	0.010
0.0-2.4	16.0-30.0	0.0-100.0	0.677	0.006 	0.009	0.455	0.004 	0.009
0.0-2.4	6.5-30.0	0.0-10.0	0.446	0.006 	0.012	0.340	0.004 	0.012
0.0-2.4	6.5-30.0	0.0-100.0	0.477	0.006 	0.013	0.360	0.004 	0.012
0.0-2.4	6.5-30.0	0.0-5.0	0.432	0.005 	0.012	0.332	0.004 	0.012
0.0-2.4	6.5-30.0	10.0-15.0	0.470	0.006 	0.013	0.365	0.005 	0.013
0.0-2.4	6.5-30.0	10.0-20.0	0.483	0.006 	0.013	0.366	0.005 	0.013
0.0-2.4	6.5-30.0	15.0-20.0	0.494	0.006 	0.013	0.368	0.005 	0.013
0.0-2.4	6.5-30.0	20.0-25.0	0.491	0.006 	0.013	0.380	0.005 	0.013
0.0-2.4	6.5-30.0	20.0-30.0	0.493	0.006 	0.013	0.375	0.005 	0.013
