				PROMPT			NonPROMPT	
Rap	pT	Cent	Mean	Sigma	relVariation	Mean	Sigma	relVariation
0.0-0.4	6.5-30.0	0.0-100.0	0.518	0.0134314	0.026	0.518	0.0096523	0.019
0.0-1.2	6.5-30.0	0.0-10.0	0.504	0.0132881	0.026	0.504	0.00973791	0.019
0.0-1.2	6.5-30.0	0.0-100.0	0.525	0.013796	0.026	0.525	0.00997695	0.019
0.0-1.2	6.5-30.0	10.0-20.0	0.536	0.0140055	0.026	0.536	0.00999865	0.019
0.0-1.2	6.5-30.0	20.0-30.0	0.533	0.0140476	0.026	0.533	0.0102744	0.019
0.0-1.2	6.5-30.0	30.0-40.0	0.543	0.0141757	0.026	0.543	0.0102849	0.019
0.0-1.2	6.5-30.0	40.0-50.0	0.542	0.0142273	0.026	0.542	0.0102978	0.019
0.0-1.2	6.5-30.0	50.0-100.0	0.562	0.0148019	0.026	0.562	0.0105015	0.019
0.0-2.4	10.0-13.0	0.0-100.0	0.605	0.0125806	0.021	0.605	0.00884692	0.015
0.0-2.4	10.0-30.0	0.0-100.0	0.627	0.012978	0.021	0.627	0.00910252	0.015
0.0-2.4	11.0-13.0	0.0-100.0	0.623	0.0128709	0.021	0.623	0.00909062	0.015
0.0-2.4	13.0-16.0	0.0-100.0	0.664	0.0142538	0.021	0.664	0.009899	0.015
0.0-2.4	13.0-30.0	0.0-100.0	0.669	0.0147504	0.022	0.669	0.0102351	0.015
0.0-2.4	16.0-30.0	0.0-100.0	0.677	0.0157273	0.023	0.677	0.0108644	0.016
0.0-2.4	6.5-30.0	0.0-10.0	0.446	0.0104204	0.023	0.446	0.00756782	0.017
0.0-2.4	6.5-30.0	0.0-100.0	0.477	0.011058	0.023	0.477	0.0080091	0.017
0.0-2.4	6.5-30.0	0.0-5.0	0.432	0.0100939	0.023	0.432	0.00737014	0.017
0.0-2.4	6.5-30.0	10.0-15.0	0.470	0.010841	0.023	0.470	0.00813946	0.017
0.0-2.4	6.5-30.0	10.0-20.0	0.483	0.0111969	0.023	0.483	0.00817265	0.017
0.0-2.4	6.5-30.0	15.0-20.0	0.494	0.0115056	0.023	0.494	0.0082155	0.017
0.0-2.4	6.5-30.0	20.0-25.0	0.491	0.0113755	0.023	0.491	0.0084868	0.017
0.0-2.4	6.5-30.0	20.0-30.0	0.493	0.011373	0.023	0.493	0.00838938	0.017
0.0-2.4	6.5-30.0	25.0-30.0	0.496	0.0113771	0.023	0.496	0.00825076	0.017
