				PROMPT			NonPROMPT	
Rap	pT	Cent	Mean	Max Var	relVariation	Mean	Max Var	relVariation
0.0-0.4	6.5-30.0	0.0-100.0	0.518	0.024 	0.045	0.394	0.017 	0.044
0.0-1.2	6.5-30.0	0.0-10.0	0.504	0.024 	0.047	0.393	0.018 	0.046
0.0-1.2	6.5-30.0	0.0-100.0	0.525	0.025 	0.047	0.402	0.018 	0.046
0.0-1.2	6.5-30.0	10.0-20.0	0.536	0.026 	0.048	0.403	0.019 	0.046
0.0-1.2	6.5-30.0	20.0-30.0	0.533	0.025 	0.048	0.414	0.019 	0.046
0.0-1.2	6.5-30.0	30.0-40.0	0.543	0.026 	0.048	0.416	0.019 	0.046
0.0-1.2	6.5-30.0	40.0-50.0	0.542	0.026 	0.048	0.419	0.019 	0.046
0.0-1.2	6.5-30.0	50.0-100.0	0.562	0.027 	0.048	0.425	0.020 	0.046
0.0-2.4	10.0-13.0	0.0-100.0	0.605	0.028 	0.047	0.425	0.020 	0.046
0.0-2.4	10.0-30.0	0.0-100.0	0.627	0.028 	0.045	0.437	0.019 	0.044
0.0-2.4	11.0-13.0	0.0-100.0	0.623	0.028 	0.045	0.439	0.020 	0.045
0.0-2.4	13.0-16.0	0.0-100.0	0.664	0.028 	0.043	0.457	0.019 	0.042
0.0-2.4	13.0-30.0	0.0-100.0	0.669	0.028 	0.042	0.456	0.019 	0.041
0.0-2.4	16.0-30.0	0.0-100.0	0.677	0.027 	0.040	0.455	0.018 	0.039
0.0-2.4	6.5-30.0	0.0-10.0	0.446	0.024 	0.053	0.340	0.017 	0.051
0.0-2.4	6.5-30.0	0.0-100.0	0.477	0.026 	0.054	0.360	0.019 	0.052
0.0-2.4	6.5-30.0	0.0-5.0	0.432	0.023 	0.053	0.332	0.017 	0.051
0.0-2.4	6.5-30.0	10.0-15.0	0.470	0.025 	0.053	0.365	0.019 	0.052
0.0-2.4	6.5-30.0	10.0-20.0	0.483	0.026 	0.054	0.366	0.019 	0.052
0.0-2.4	6.5-30.0	15.0-20.0	0.494	0.027 	0.054	0.368	0.019 	0.052
0.0-2.4	6.5-30.0	20.0-25.0	0.491	0.026 	0.054	0.380	0.020 	0.052
0.0-2.4	6.5-30.0	20.0-30.0	0.493	0.026 	0.054	0.375	0.020 	0.052
0.0-2.4	6.5-30.0	25.0-30.0	0.496	0.027 	0.054	0.369	0.019 	0.052
0.0-2.4	6.5-30.0	30.0-35.0	0.512	0.028 	0.054	0.379	0.020 	0.052
0.0-2.4	6.5-30.0	30.0-40.0	0.512	0.028 	0.054	0.385	0.020 	0.052
0.0-2.4	6.5-30.0	35.0-40.0	0.513	0.028 	0.054	0.391	0.020 	0.052
0.0-2.4	6.5-30.0	40.0-45.0	0.518	0.028 	0.054	0.399	0.021 	0.052
0.0-2.4	6.5-30.0	40.0-50.0	0.515	0.028 	0.054	0.396	0.021 	0.052
