				PROMPT			Non-PROMPT	
Rap	pT	cent	Mean	Sigma	relVariation	Mean	Sigma	relVariation
0.0-0.4	6.5-30.0	0.0-100.0	0.533	0.003	0.006	0.555	0.003	0.006
0.0-1.2	6.5-30.0	0.0-100.0	0.543	0.003	0.005	0.561	0.003	0.005
0.0-2.4	10.0-13.0	0.0-100.0	0.597	0.002	0.004	0.580	0.002	0.004
0.0-2.4	10.0-30.0	0.0-100.0	0.615	0.002	0.004	0.601	0.002	0.004
0.0-2.4	11.0-13.0	0.0-100.0	0.606	0.002	0.004	0.596	0.002	0.004
0.0-2.4	13.0-16.0	0.0-100.0	0.644	0.003	0.004	0.626	0.003	0.004
0.0-2.4	13.0-30.0	0.0-100.0	0.649	0.003	0.004	0.629	0.003	0.005
0.0-2.4	16.0-30.0	0.0-100.0	0.657	0.003	0.005	0.633	0.003	0.005
0.0-2.4	6.5-30.0	0.0-100.0	0.480	0.002	0.004	0.495	0.002	0.004
0.0-2.4	6.5-7.5	0.0-100.0	0.356	0.002	0.006	0.351	0.002	0.006
0.0-2.4	6.5-8.0	0.0-100.0	0.378	0.002	0.006	0.369	0.002	0.005
0.0-2.4	6.5-8.5	0.0-100.0	0.396	0.002	0.005	0.387	0.002	0.005
0.0-2.4	7.5-8.5	0.0-100.0	0.450	0.002	0.005	0.428	0.002	0.005
0.0-2.4	8.0-10.0	0.0-100.0	0.510	0.002	0.004	0.493	0.002	0.004
0.0-2.4	8.5-9.5	0.0-100.0	0.519	0.002	0.004	0.501	0.002	0.004
0.0-2.4	9.5-11.0	0.0-100.0	0.575	0.002	0.004	0.551	0.002	0.004
0.4-0.8	6.5-30.0	0.0-100.0	0.570	0.003	0.006	0.581	0.003	0.005
0.8-1.2	6.5-30.0	0.0-100.0	0.530	0.002	0.004	0.550	0.002	0.004
1.2-1.6	6.5-30.0	0.0-100.0	0.464	0.003	0.005	0.467	0.003	0.006
1.6-2.0	6.5-30.0	0.0-100.0	0.439	0.003	0.007	0.432	0.003	0.007
1.6-2.4	3.0-30.0	0.0-100.0	0.310	0.003	0.009	0.332	0.003	0.008
1.6-2.4	3.0-4.5	0.0-100.0	0.218	0.003	0.014	0.215	0.003	0.014
1.6-2.4	3.0-5.5	0.0-100.0	0.249	0.003	0.012	0.249	0.003	0.011
1.6-2.4	3.0-6.5	0.0-100.0	0.271	0.003	0.011	0.275	0.003	0.010
1.6-2.4	4.5-5.5	0.0-100.0	0.300	0.003	0.010	0.294	0.003	0.010
1.6-2.4	5.5-6.5	0.0-100.0	0.356	0.003	0.009	0.343	0.003	0.009
1.6-2.4	6.5-30.0	0.0-100.0	0.417	0.004	0.009	0.410	0.004	0.009
2.0-2.4	6.5-30.0	0.0-100.0	0.369	0.005	0.015	0.357	0.005	0.015
