				PROMPT			Non-PROMPT	
Rap	pT	cent	Mean	Sigma	relVariation	Mean	Sigma	relVariation
0.0-0.4	6.5-30.0	0.0-100.0	0.533	0.006	0.011	0.555	0.006	0.011
0.0-1.2	6.5-30.0	0.0-100.0	0.543	0.006	0.010	0.561	0.006	0.010
0.0-2.4	10.0-13.0	0.0-100.0	0.597	0.006	0.011	0.580	0.006	0.010
0.0-2.4	10.0-30.0	0.0-100.0	0.615	0.007	0.011	0.601	0.007	0.011
0.0-2.4	11.0-13.0	0.0-100.0	0.606	0.007	0.011	0.596	0.006	0.011
0.0-2.4	13.0-16.0	0.0-100.0	0.644	0.007	0.012	0.626	0.007	0.012
0.0-2.4	13.0-30.0	0.0-100.0	0.649	0.008	0.012	0.629	0.008	0.012
0.0-2.4	16.0-30.0	0.0-100.0	0.657	0.008	0.013	0.633	0.008	0.013
0.0-2.4	6.5-30.0	0.0-100.0	0.480	0.005	0.011	0.495	0.005	0.010
0.0-2.4	6.5-7.5	0.0-100.0	0.356	0.005	0.013	0.351	0.005	0.013
0.0-2.4	6.5-8.0	0.0-100.0	0.378	0.005	0.013	0.369	0.005	0.013
0.0-2.4	6.5-8.5	0.0-100.0	0.396	0.005	0.013	0.387	0.005	0.012
0.0-2.4	7.5-8.5	0.0-100.0	0.450	0.006	0.012	0.428	0.005	0.012
0.0-2.4	8.0-10.0	0.0-100.0	0.510	0.006	0.011	0.493	0.005	0.011
0.0-2.4	8.5-9.5	0.0-100.0	0.519	0.006	0.011	0.501	0.005	0.011
0.0-2.4	9.5-11.0	0.0-100.0	0.575	0.006	0.010	0.551	0.006	0.010
0.4-0.8	6.5-30.0	0.0-100.0	0.570	0.006	0.011	0.581	0.006	0.011
0.8-1.2	6.5-30.0	0.0-100.0	0.530	0.006	0.010	0.550	0.006	0.010
1.2-1.6	6.5-30.0	0.0-100.0	0.464	0.005	0.010	0.467	0.005	0.010
1.6-2.0	6.5-30.0	0.0-100.0	0.439	0.008	0.019	0.432	0.009	0.020
1.6-2.4	3.0-30.0	0.0-100.0	0.310	0.006	0.020	0.332	0.006	0.019
1.6-2.4	3.0-4.5	0.0-100.0	0.218	0.008	0.034	0.215	0.007	0.034
1.6-2.4	3.0-5.5	0.0-100.0	0.249	0.007	0.027	0.249	0.007	0.026
1.6-2.4	3.0-6.5	0.0-100.0	0.271	0.006	0.024	0.275	0.006	0.022
1.6-2.4	4.5-5.5	0.0-100.0	0.300	0.006	0.021	0.294	0.006	0.021
1.6-2.4	5.5-6.5	0.0-100.0	0.356	0.006	0.018	0.343	0.006	0.018
1.6-2.4	6.5-30.0	0.0-100.0	0.417	0.009	0.021	0.410	0.009	0.022
2.0-2.4	6.5-30.0	0.0-100.0	0.369	0.010	0.027	0.357	0.010	0.028
