				PROMPT			Non-PROMPT	
Rap	pT	cent	Mean	Max Var	relVariation	Mean	Max Var	relVariation
0.0-0.4	6.5-30.0	0.0-100.0	0.533	0.024 	0.045	0.555	0.024 	0.043
0.0-1.2	6.5-30.0	0.0-100.0	0.543	0.026 	0.048	0.561	0.025 	0.045
0.0-2.4	10.0-13.0	0.0-100.0	0.597	0.028 	0.047	0.580	0.027 	0.046
0.0-2.4	10.0-30.0	0.0-100.0	0.615	0.028 	0.045	0.601	0.026 	0.044
0.0-2.4	11.0-13.0	0.0-100.0	0.606	0.028 	0.045	0.596	0.027 	0.045
0.0-2.4	13.0-16.0	0.0-100.0	0.644	0.027 	0.043	0.626	0.026 	0.042
0.0-2.4	13.0-30.0	0.0-100.0	0.649	0.027 	0.042	0.629	0.026 	0.041
0.0-2.4	16.0-30.0	0.0-100.0	0.657	0.026 	0.040	0.633	0.025 	0.039
0.0-2.4	6.5-30.0	0.0-100.0	0.480	0.026 	0.054	0.495	0.025 	0.051
0.0-2.4	6.5-7.5	0.0-100.0	0.356	0.024 	0.067	0.351	0.023 	0.067
0.0-2.4	6.5-8.0	0.0-100.0	0.378	0.025 	0.065	0.369	0.024 	0.065
0.0-2.4	6.5-8.5	0.0-100.0	0.396	0.025 	0.064	0.387	0.024 	0.063
0.0-2.4	7.5-8.5	0.0-100.0	0.450	0.027 	0.060	0.428	0.025 	0.059
0.0-2.4	8.0-10.0	0.0-100.0	0.510	0.028 	0.054	0.493	0.026 	0.054
0.0-2.4	8.5-9.5	0.0-100.0	0.519	0.028 	0.054	0.501	0.027 	0.053
0.0-2.4	9.5-11.0	0.0-100.0	0.575	0.028 	0.049	0.551	0.027 	0.049
0.4-0.8	6.5-30.0	0.0-100.0	0.570	0.026 	0.046	0.581	0.026 	0.044
0.8-1.2	6.5-30.0	0.0-100.0	0.530	0.027 	0.051	0.550	0.026 	0.048
1.2-1.6	6.5-30.0	0.0-100.0	0.464	0.025 	0.054	0.467	0.024 	0.052
1.6-2.0	6.5-30.0	0.0-100.0	0.439	0.028 	0.065	0.432	0.028 	0.064
1.6-2.4	3.0-30.0	0.0-100.0	0.310	0.022 	0.071	0.332	0.023 	0.069
1.6-2.4	3.0-4.5	0.0-100.0	0.218	0.017 	0.076	0.215	0.016 	0.076
1.6-2.4	3.0-5.5	0.0-100.0	0.249	0.019 	0.075	0.249	0.019 	0.075
1.6-2.4	3.0-6.5	0.0-100.0	0.271	0.020 	0.074	0.275	0.020 	0.073
1.6-2.4	4.5-5.5	0.0-100.0	0.300	0.022 	0.074	0.294	0.022 	0.074
1.6-2.4	5.5-6.5	0.0-100.0	0.356	0.025 	0.071	0.343	0.024 	0.071
1.6-2.4	6.5-30.0	0.0-100.0	0.417	0.027 	0.066	0.410	0.027 	0.065
2.0-2.4	6.5-30.0	0.0-100.0	0.369	0.025 	0.069	0.357	0.024 	0.068
