rap;pt;cent;Model_Bkg_PP;N_Bkg_PP;lambda1_Bkg_PP;lambda2_Bkg_PP;lambda3_Bkg_PP;lambda4_Bkg_PP;lambda5_Bkg_PP;lambda6_Bkg_PP
0.6-1.2;6.5-50.0;0-100;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.6-1.2;6.5-50.0;0-10;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.6-1.2;6.5-50.0;10-20;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.6-1.2;6.5-50.0;20-30;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.6-1.2;6.5-50.0;30-40;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.6-1.2;6.5-50.0;40-50;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.6-1.2;6.5-50.0;50-100;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.6-1.2;6.5-8.5;0-100;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.6-1.2;8.5-9.5;0-100;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.6-1.2;9.5-11.0;0-100;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.6-1.2;11.0-15.0;0-100;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
0.6-1.2;15.0-50.0;0-100;Chebychev1;;[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0];[0.0,-2.0,2.0]
