rap;pt;cent;Model_Jpsi_PP;N_Jpsi_PP;m_Jpsi_PP;sigma1_Jpsi_PP;rSigma21_Jpsi_PP;alpha_Jpsi_PP;n_Jpsi_PP;f_Jpsi_PP
1.2-1.8;6.5-50.0;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.034,0.02,0.05];[1.7,1.2,2.2];[2.04];[1.61];[0.64,0.5,1.0]
1.2-1.8;6.5-50.0;0-10;DoubleCrystalBall;;[3.09,3.06,3.1];[0.034,0.02,0.05];[1.7,1.2,2.2];[2.04];[1.61];[0.64,0.5,1.0]
1.2-1.8;6.5-50.0;10-20;DoubleCrystalBall;;[3.09,3.06,3.1];[0.034,0.02,0.05];[1.7,1.2,2.2];[2.04];[1.61];[0.64,0.5,1.0]
1.2-1.8;6.5-50.0;20-30;DoubleCrystalBall;;[3.09,3.06,3.1];[0.034,0.02,0.05];[1.7,1.2,2.2];[2.04];[1.61];[0.64,0.5,1.0]
1.2-1.8;6.5-50.0;30-40;DoubleCrystalBall;;[3.09,3.06,3.1];[0.034,0.02,0.05];[1.7,1.2,2.2];[2.04];[1.61];[0.64,0.5,1.0]
1.2-1.8;6.5-50.0;40-50;DoubleCrystalBall;;[3.09,3.06,3.1];[0.034,0.02,0.05];[1.7,1.2,2.2];[2.04];[1.61];[0.64,0.5,1.0]
1.2-1.8;6.5-50.0;50-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.034,0.02,0.05];[1.7,1.2,2.2];[2.04];[1.61];[0.64,0.5,1.0]
1.2-1.8;6.5-7.5;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.034,0.02,0.05];[1.7,1.2,2.2];[2.04];[1.61];[0.64,0.5,1.0]
1.2-1.8;7.5-8.5;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.034,0.02,0.05];[1.7,1.2,2.2];[2.04];[1.61];[0.64,0.5,1.0]
1.2-1.8;8.5-9.5;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.034,0.02,0.05];[1.7,1.2,2.2];[2.04];[1.61];[0.64,0.5,1.0]
1.2-1.8;9.5-11.0;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.034,0.02,0.05];[1.7,1.2,2.2];[2.04];[1.61];[0.64,0.5,1.0]
1.2-1.8;11.0-15.0;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.034,0.02,0.05];[1.7,1.2,2.2];[2.04];[1.61];[0.64,0.5,1.0]
1.2-1.8;15.0-50.0;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.034,0.02,0.05];[1.7,1.2,2.2];[2.04];[1.61];[0.64,0.5,1.0]
