rap;pt;cent;Model_Jpsi_PbPb;N_Jpsi_PbPb;m_Jpsi_PbPb;sigma1_Jpsi_PbPb;rSigma21_Jpsi_PbPb;alpha_Jpsi_PbPb;n_Jpsi_PbPb;f_Jpsi_PbPb
1.8-2.4;6.5-50.0;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.04785,0.005,0.07];[1.59];[2.03];[1.82];[0.83,0.5,1.0]
1.8-2.4;6.5-50.0;0-10;DoubleCrystalBall;;[3.09,3.06,3.1];[0.04785,0.005,0.07];[1.59];[2.03];[1.82];[0.83,0.5,1.0]
1.8-2.4;6.5-50.0;10-20;DoubleCrystalBall;;[3.09,3.06,3.1];[0.04785,0.005,0.07];[1.59];[2.03];[1.82];[0.83,0.5,1.0]
1.8-2.4;6.5-50.0;20-30;DoubleCrystalBall;;[3.09,3.06,3.1];[0.04785,0.005,0.07];[1.59];[2.03];[1.82];[0.83,0.5,1.0]
1.8-2.4;6.5-50.0;30-40;DoubleCrystalBall;;[3.09,3.06,3.1];[0.04785,0.005,0.07];[1.59];[2.03];[1.82];[0.83,0.5,1.0]
1.8-2.4;6.5-50.0;40-50;DoubleCrystalBall;;[3.09,3.06,3.1];[0.04785,0.005,0.07];[1.59];[2.03];[1.82];[0.83,0.5,1.0]
1.8-2.4;6.5-50.0;50-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.04785,0.005,0.07];[1.59];[2.03];[1.82];[0.83,0.5,1.0]
1.8-2.4;3.0-4.5;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.04785,0.005,0.07];[1.59];[2.03];[1.82];[0.83,0.5,1.0]
1.8-2.4;4.5-5.5;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.04785,0.005,0.07];[1.59];[2.03];[1.82];[0.83,0.5,1.0]
1.8-2.4;5.5-6.5;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.04785,0.005,0.07];[1.59];[2.03];[1.82];[0.83,0.5,1.0]
1.8-2.4;6.5-7.5;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.04785,0.005,0.07];[1.59];[2.03];[1.82];[0.83,0.5,1.0]
1.8-2.4;7.5-8.5;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.04785,0.005,0.07];[1.59];[2.03];[1.82];[0.83,0.5,1.0]
1.8-2.4;8.5-9.5;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.04785,0.005,0.07];[1.59];[2.03];[1.82];[0.83,0.5,1.0]
1.8-2.4;9.5-11.0;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.04785,0.005,0.07];[1.59];[2.03];[1.82];[0.83,0.5,1.0]
1.8-2.4;11.0-15.0;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.04785,0.005,0.07];[1.59];[2.03];[1.82];[0.83,0.5,1.0]
1.8-2.4;15.0-50.0;0-100;DoubleCrystalBall;;[3.09,3.06,3.1];[0.04785,0.005,0.07];[1.59];[2.03];[1.82];[0.83,0.5,1.0]
