rap;pt;cent;Model_Jpsi_PbPb;N_Jpsi_PbPb;m_Jpsi_PbPb;sigma1_Jpsi_PbPb;rSigma21_Jpsi_PbPb;alpha_Jpsi_PbPb;n_Jpsi_PbPb;f_Jpsi_PbPb
0.0-1.6;6.5-30.0;0.0-10.0;DoubleCrystalBall;;;[0.02424,0.005,0.07];[1.73];[1.94];[1.57];[0.74,0.0,1.0]
0.0-1.6;6.5-30.0;10.0-20.0;DoubleCrystalBall;;;[0.02424,0.005,0.07];[1.73];[1.94];[1.57];[0.74,0.0,1.0]
0.0-1.6;6.5-30.0;20.0-30.0;DoubleCrystalBall;;;[0.02424,0.005,0.07];[1.73];[1.94];[1.57];[0.74,0.0,1.0]
0.0-1.6;6.5-30.0;30.0-40.0;DoubleCrystalBall;;;[0.02424,0.005,0.07];[1.73];[1.94];[1.57];[0.74,0.0,1.0]
0.0-1.6;6.5-30.0;40.0-50.0;DoubleCrystalBall;;;[0.02424,0.005,0.07];[1.73];[1.94];[1.57];[0.74,0.0,1.0]
0.0-1.6;6.5-30.0;50.0-100.0;DoubleCrystalBall;;;[0.02424,0.005,0.07];[1.73];[1.94];[1.57];[0.74,0.0,1.0]
0.0-1.6;6.5-9.0;0.0-100.0;DoubleCrystalBall;;;[0.02424,0.005,0.07];[1.73];[1.94];[1.57];[0.74,0.0,1.0]
0.0-1.6;9.0-12.0;0.0-100.0;DoubleCrystalBall;;;[0.02424,0.005,0.07];[1.73];[1.94];[1.57];[0.74,0.0,1.0]
0.0-1.6;12.0-15.0;0.0-100.0;DoubleCrystalBall;;;[0.02424,0.005,0.07];[1.73];[1.94];[1.57];[0.74,0.0,1.0]
0.0-1.6;15.0-20.0;0.0-100.0;DoubleCrystalBall;;;[0.02424,0.005,0.07];[1.73];[1.94];[1.57];[0.74,0.0,1.0]
0.0-1.6;20.0-30.0;0.0-100.0;DoubleCrystalBall;;;[0.02424,0.005,0.07];[1.73];[1.94];[1.57];[0.74,0.0,1.0]
0.0-1.6;6.5-30.0;0.0-100.0;DoubleCrystalBall;;;[0.02424,0.005,0.07];[1.73];[1.94];[1.57];[0.74,0.0,1.0]
1.6-2.4;3.0-30.0;0.0-20.0;DoubleCrystalBall;;;[0.04785,0.005,0.07];[1.52];[2.02];[1.84];[0.83,0.0,1.0]
1.6-2.4;3.0-30.0;20.0-40.0;DoubleCrystalBall;;;[0.04785,0.005,0.07];[1.52];[2.02];[1.84];[0.83,0.0,1.0]
1.6-2.4;3.0-30.0;40.0-100.0;DoubleCrystalBall;;;[0.04785,0.005,0.07];[1.52];[2.02];[1.84];[0.83,0.0,1.0]
1.6-2.4;3.0-6.5;0.0-100.0;DoubleCrystalBall;;;[0.04785,0.005,0.07];[1.52];[2.02];[1.84];[0.83,0.0,1.0]
1.6-2.4;6.5-12.0;0.0-100.0;DoubleCrystalBall;;;[0.04785,0.005,0.07];[1.52];[2.02];[1.84];[0.83,0.0,1.0]
1.6-2.4;12.0-30.0;0.0-100.0;DoubleCrystalBall;;;[0.04785,0.005,0.07];[1.52];[2.02];[1.84];[0.83,0.0,1.0]
1.6-2.4;3.0-30.0;0.0-100.0;DoubleCrystalBall;;;[0.04785,0.005,0.07];[1.52];[2.02];[1.84];[0.83,0.0,1.0]
