rap;pt;cent;Model_Psi2S_PP;N_Psi2S_PP;sigma1_Psi2S_PP;rSigma21_Psi2S_PP;m_Psi2S_PP;alpha_Psi2S_PP;n_Psi2S_PP;f_Psi2S_PP
0.0-1.6;6.5-30.0;0.0-10.0;DoubleCrystalBall;;;;;;;;
0.0-1.6;6.5-30.0;10.0-20.0;DoubleCrystalBall;;;;;;;;
0.0-1.6;6.5-30.0;20.0-30.0;DoubleCrystalBall;;;;;;;;
0.0-1.6;6.5-30.0;30.0-40.0;DoubleCrystalBall;;;;;;;;
0.0-1.6;6.5-30.0;40.0-50.0;DoubleCrystalBall;;;;;;;;
0.0-1.6;6.5-30.0;50.0-100.0;DoubleCrystalBall;;;;;;;;
0.0-1.6;6.5-9.0;0.0-100.0;DoubleCrystalBall;;;;;;;;
0.0-1.6;9.0-12.0;0.0-100.0;DoubleCrystalBall;;;;;;;;
0.0-1.6;12.0-15.0;0.0-100.0;DoubleCrystalBall;;;;;;;;
0.0-1.6;15.0-20.0;0.0-100.0;DoubleCrystalBall;;;;;;;;
0.0-1.6;20.0-30.0;0.0-100.0;DoubleCrystalBall;;;;;;;;
0.0-1.6;6.5-30.0;0.0-100.0;DoubleCrystalBall;;;;;;;;
1.6-2.4;3.0-30.0;0.0-20.0;DoubleCrystalBall;;;;;;;;
1.6-2.4;3.0-30.0;20.0-40.0;DoubleCrystalBall;;;;;;;;
1.6-2.4;3.0-30.0;40.0-100.0;DoubleCrystalBall;;;;;;;;
1.6-2.4;3.0-6.5;0.0-100.0;DoubleCrystalBall;;;;;;;;
1.6-2.4;6.5-12.0;0.0-100.0;DoubleCrystalBall;;;;;;;;
1.6-2.4;12.0-30.0;0.0-100.0;DoubleCrystalBall;;;;;;;;
1.6-2.4;3.0-30.0;0.0-100.0;DoubleCrystalBall;;;;;;;;
