Predictions for J/psi R_AA(Npart,pt) in PbPb(5.02TeV) collisions
###############################################################

1. Calculations based on transport model of 
X.Zhao+R.Rapp,PRC82(2010)064905,
extended to PbPb at LHC in 
X.Zhao+R.Rapp,NPA859(2011)114 and X.Du+R.Rapp,NPA943(2015)147.

2. Improved hadronic dissociation rates (including many more non-/strange mesons) 
based on X.Du+R.Rapp,NPA943(2015)147.

3. Charged particle multiplicity for 5.02TeV at mid-rapidity taken from 
H.Niemi,K.J.Eskola,R.Paatelainen+K.Tuominen,arxiv1511.04296

4. Inclusive J/psi production cross sections (dsigma/dy): 
1.6<y<2.4: 3.41/4.85 microbarn at 2.76/5.02 TeV 
|y|<0.9:   3.75/5.34 microbarn at 2.76/5.02 TeV. 

5. Psi(2S) production cross sections (dsigma/dy): 
1.6<y<2.4: 0.48/0.68 microbarn at 2.76/5.02 TeV 
|y|<0.9:   0.53/0.75 microbarn at 2.76/5.02 TeV. 

6. Open charm production cross sections (dsigma/dy):
1.6<y<2.4: 0.59/0.84 mb at 2.76/5.02 TeV 
|y|<0.9:   0.65/0.92 mb at 2.76/5.02 TeV

7. Uncertainty band includes cold nuclear matter modification with/without Cronin effect

8. Uncertainty in Psi(2S) dissociation rates includes factor of 3-4 (2) for QGP (hadronic) rate 
 to reproduce suppression in dA/pA collisions.

9. Uncertainty in regeneration freezeout temperatures is T=160-165MeV for Psi(2S), and 
179MeV-181MeV(200MeV) for J/psi at 5.02(2.76)TeV to reproduce J/psi R_AA(pt) from ALICE.

8. 5.02 TeV calculations assume 10% more shadowing than at 2.76 TeV.

9. Npart from Glauber model with sig_NN^inel=65mb.


Centrality dependence of RAA(Psi(2S))/RAA(J/psi) double ratio for 5.02TeV
-------------------------------------------------------------------------
	         	6.5-30GeV,|y|<1.6      	   3-30GeV,1.6<y<2.4
Npart		min      	max              min             max
356		0.6894563509	1.2372530176	0.8161800215	1.3739258888
261		0.402125127	0.6016619979	0.7992716359	1.2696644551
187		0.3210750562	0.4498571196	0.6924331939	1.0165823958
130		0.311826624	0.4333310854	0.5181990618	0.7064526309
86.3		0.3416395257	0.4788165644	0.3631068636	0.4918014708
42		0.5200780739	0.6629331734	0.4127795721	0.5477662817
8.75		0.9596702251	0.9749282444	0.9471376899	0.9651103631



Centrality dependence of RAA(Psi(2S))/RAA(J/psi) double ratio for 2.76TeV
-------------------------------------------------------------------------
		   6.5-30GeV,|y|<1.6         	   3-30GeV,1.6<y<2.4
Npart		min      	max              min             max
356		0.5705908416	0.927681825	1.3290776791	1.5534869635
261		0.3430447313	0.509326484	1.0278017076	1.255732118
187		0.2916454008	0.4165173873	0.7151141961	0.9032744069
130		0.307857259	0.4375483945	0.4608406062	0.6033507405
86.3		0.3639459103	0.5121081256	0.3374741485	0.4643140835
42		0.5897544188	0.7196932215	0.4842733641	0.6136713434
8.75		0.9745075556	0.9840990457	0.9667016118	0.9779298831



Minimum-bias Momemtum (pt) dependence of RAA at |y|<1.6 for 5.02TeV
--------------------------------------------------------------------
			Psi(2S)               		J/psi
pt		    min        	max      	min	     	max
0		0.340851	0.358994	0.811467	1.184977
0.2		0.341356	0.359477	0.810965	1.179863
0.4		0.342965	0.361043	0.810319	1.165561
0.6		0.345475	0.363348	0.809429	1.142081
0.8		0.349136	0.366796	0.807329	1.108634
1		0.353936	0.371145	0.804103	1.066107
1.2		0.35955		0.376106	0.799047	1.015036
1.4		0.366035	0.381678	0.791615	0.956684
1.6		0.373572	0.387969	0.78139		0.892946
1.8		0.381399	0.394159	0.767907	0.82588
2		0.389686	0.400375	0.746724	0.774221
2.2		0.397238	0.405465	0.68182		0.737693
2.4		0.404513	0.410292	0.620169	0.710651
2.6		0.41001		0.41313		0.562618	0.680207
2.8		0.412803	0.41498		0.509052	0.648076
3		0.411143	0.41772		0.458881	0.615959
3.2		0.406517	0.417588	0.414856	0.583091
3.4		0.399498	0.415434	0.376164	0.549551
3.6		0.389223	0.409688	0.34302		0.516606
3.8		0.375804	0.400535	0.314411	0.484308
4		0.361251	0.39063		0.289799	0.453184
4.2		0.343511	0.376293	0.268748	0.423655
4.4		0.324586	0.361042	0.251138	0.396588
4.6		0.30485		0.344339	0.236137	0.371644
