#Y2S/Y1S-Npart-Ratio
#LHC-CMS-Cuts
#Npart	etabar=1/4pi	        etabar=2/4pi	        etabar=3/4pi
8.8	0.9590513002966154	0.9726234586949278	0.9803423430622983
22	0.7322344026796426	0.7944775664278527	0.821547555981211
42	0.5664051883043056	0.6230537564366733	0.6448701051748899
86.3	0.44677519757802475	0.4973211820931957	0.5078227369775767
130	0.36587127242933115	0.40552703219553626	0.41097206103415274
187	0.3104084854249428	0.34325687477657146	0.34341221891602586
261	0.2683827897255518	0.29650708624904026	0.2951697448972719
329	0.23802766747657805	0.2635749756708237	0.26240058227244534
381	0.21112336084317804	0.23722381398254289	0.2353604284697938
# Eof
