rap;pt;cent;Model_Psi2S_PP;N_Psi2S_PP;sigma1_Psi2S_PP;rSigma21_Psi2S_PP;m_Psi2S_PP;alpha_Psi2S_PP;n_Psi2S_PP;f_Psi2S_PP
0.0-0.4;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
0.0-0.4;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
0.0-0.4;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
0.0-0.4;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
0.0-0.4;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
0.0-0.4;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
0.0-0.4;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
0.4-0.8;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
0.4-0.8;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
0.4-0.8;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
0.4-0.8;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
0.4-0.8;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
0.4-0.8;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
0.4-0.8;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
0.8-1.2;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
0.8-1.2;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
0.8-1.2;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
0.8-1.2;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
0.8-1.2;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
0.8-1.2;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
0.8-1.2;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
1.2-1.6;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
1.2-1.6;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
1.2-1.6;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
1.2-1.6;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
1.2-1.6;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
1.2-1.6;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
1.2-1.6;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
1.6-2.0;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
1.6-2.0;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
1.6-2.0;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
1.6-2.0;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
1.6-2.0;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
1.6-2.0;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
1.6-2.0;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
2.0-2.4;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
2.0-2.4;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
2.0-2.4;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
2.0-2.4;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
2.0-2.4;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
2.0-2.4;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
2.0-2.4;6.5-50.0;0-100;DoubleCrystalBall;;;;;;;
